databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
35db5550-2356-4724-a4da-8a4bd103272f	Passage Through Mirkwood	35db5550-2356-4724-a4da-8a4bd103272f.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	1	Rules															Passage Through Mirkwood Official (community) difficulty: 1 (2.4)			2024-04-12 21:44:59
35db5550-2356-4724-a4da-8a4bd103272f	Passage Through Mirkwood	35db5550-2356-4724-a4da-8a4bd103272f.B.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	1	Rules																		2024-04-12 21:44:59
357788d4-2b6a-45fd-b41a-5a9434a13ca6	Journey Down the Anduin	357788d4-2b6a-45fd-b41a-5a9434a13ca6.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	2	Rules															Journey Down the Anduin Official (community) difficulty: 4 (5.4)			2024-04-12 21:44:59
357788d4-2b6a-45fd-b41a-5a9434a13ca6	Journey Down the Anduin	357788d4-2b6a-45fd-b41a-5a9434a13ca6.B.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	2	Rules																		2024-04-12 21:44:59
3b5fa509-3255-4582-a0fb-c65dc7d43d52	Escape from Dol Guldur	3b5fa509-3255-4582-a0fb-c65dc7d43d52.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	3	Rules															Escape from Dol Guldur Official (community) difficulty: 7 (7.7) Guarded The guarded keyword is a reminder on some objective cards to reveal and attach the next card of the encounter deck to the objective when it enters the staging area from the encounter deck, and place them both in the staging area. The objective cannot be claimed as long as any encounter card is attached. Once that encounter is dealt with, the objective remains in the staging area until it is claimed. If another objective card comes up while attaching a card for the guarded keyword, place the second objective in the staging area, and use the next card of the encounter deck to fulfil the original keyword effect. Enemy and location cards attached to guarded objectives do still count their threat while the enemy or location is in the staging area. An encounter card attached to a guarded objective is dealt with in the following method, depending on its card type: Enemy: The enemy leaves play, either by being defeated or as the result of a card effect. Location: The location leaves play, either by being fully explored or as the result of a card effect. Treachery: The treachery’s effects resolve, or are cancelled (Treachery cards are immediately triggered when they are revealed.) Once all encounter cards attached to a guarded objective are dealt with, the players can claim the objective in the manner specified by its card text.			2024-04-12 21:44:59
3b5fa509-3255-4582-a0fb-c65dc7d43d52	Escape from Dol Guldur	3b5fa509-3255-4582-a0fb-c65dc7d43d52.B.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	3	Rules																		2024-04-12 21:44:59
4c31cfd3-6bbc-46b0-9f89-44a37a4c6ba5	The Hunt for Gollum	4c31cfd3-6bbc-46b0-9f89-44a37a4c6ba5.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	4	Rules															The Hunt for Gollum Official (community) difficulty: 4 (4.2) Guarded The guarded keyword is a reminder on some objective cards to reveal and attach the next card of the encounter deck to the objective when it enters the staging area from the encounter deck, and place them both in the staging area. The objective cannot be claimed as long as any encounter card is attached. Once that encounter is dealt with, the objective remains in the staging area until it is claimed. If another objective card comes up while attaching a card for the guarded keyword, place the second objective in the staging area, and use the next card of the encounter deck to fulfil the original keyword effect. Enemy and location cards attached to guarded objectives do still count their threat while the enemy or location is in the staging area. An encounter card attached to a guarded objective is dealt with in the following method, depending on its card type: Enemy: The enemy leaves play, either by being defeated or as the result of a card effect. Location: The location leaves play, either by being fully explored or as the result of a card effect. Treachery: The treachery’s effects resolve, or are cancelled (Treachery cards are immediately triggered when they are revealed.) Once all encounter cards attached to a guarded objective are dealt with, the players can claim the objective in the manner specified by its card text. Rules and Rulings			2024-04-12 21:44:59
4c31cfd3-6bbc-46b0-9f89-44a37a4c6ba5	The Hunt for Gollum	4c31cfd3-6bbc-46b0-9f89-44a37a4c6ba5.B.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	4	Rules																		2024-04-12 21:44:59
c6a1d5bb-63bd-44c4-8c52-a656e50e4492	The Hunt for Gollum	c6a1d5bb-63bd-44c4-8c52-a656e50e4492.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	5	Rules															The “Signs of Gollum” Objective Cards In this scenario, players are searching for Clueobjective cards titled “Signs of Gollum.” There are four copies of this card in the encounter deck; players should try to fin d and claim as many copies of this card as they can while playing the scenario.When one of these cards is claimed, its card text transforms it into a Condition attachment, and it is attached to a hero committed to the quest, with text that returns the card to the top of the encounter deck if the attached hero is damaged. Additionally, if the attached hero is destroyed or leaves play for any other reason, the Signs of Gollum objective card is returned to the top ofthe encounter deck. Reset the Quest Deck While playing this scenario, players might be instructed to “reset the quest deck to stage 2B.” To do this, the players take the previously defeated stage 2 quest card, and return it to the quest deck as if they are just beginning that stage. Any progress tokens that were on the current quest are removed before the quest deck resets. Progress tokens that were on the active location, however, remain on that location. All other cards , including those in the staging area, remain unchanged.			2024-04-12 21:44:59
c6a1d5bb-63bd-44c4-8c52-a656e50e4492	The Hunt for Gollum	c6a1d5bb-63bd-44c4-8c52-a656e50e4492.B.jpg	multi_sided	Rules	Seastan Scratch Set	1	003325db-0819-4920-a52f-6090d7cda194	5	Rules																		2024-04-12 21:44:59
