databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
45215193-9309-427d-92fe-f0d6d863ce3d	Frodo Baggins	45215193-9309-427d-92fe-f0d6d863ce3d.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	1		1	Fellowship	Hobbit. Walker.		7			2	1	2	2				Has a [leadership] icon. Response: When Frodo Baggins would be dealt any amount of damage by an undefended attack, reduce that amount by 3. (Limit once per round.)			2025-02-22 21:16:30
45215193-9309-427d-92fe-f0d6d863ce3d	Frodo Baggins	45215193-9309-427d-92fe-f0d6d863ce3d.B.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	1		1	Fellowship	Hobbit.		7			2	1	2	2							2025-02-22 21:16:30
0caf2a26-fe89-45a6-8dc4-1620eccd4df9	Samwise Gamgee	0caf2a26-fe89-45a6-8dc4-1620eccd4df9.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	2		1	Fellowship	Hobbit. Walker.		8			3	1	1	3				Has a [spirit] icon. Response: After Frodo Baggins exhausts, ready Samwise Gamgee.			2025-02-22 21:16:30
0caf2a26-fe89-45a6-8dc4-1620eccd4df9	Samwise Gamgee	0caf2a26-fe89-45a6-8dc4-1620eccd4df9.B.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	2		1	Fellowship	Hobbit.		8			3	1	1	3							2025-02-22 21:16:30
e78a5ab6-6fcf-45ee-9a4d-76c94677b8cc	Merry	e78a5ab6-6fcf-45ee-9a4d-76c94677b8cc.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	3		1	Fellowship	Hobbit. Walker.		6			2	1	1	2				Has a [tactics] icon. While Pippin is in play, Merry gets +1 [willpower]. When an enemy would trigger a Forced effect, cancel it. (Limit once per round.)			2025-02-22 21:16:30
e78a5ab6-6fcf-45ee-9a4d-76c94677b8cc	Merry	e78a5ab6-6fcf-45ee-9a4d-76c94677b8cc.B.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	3		1	Fellowship	Hobbit.		6			2	1	1	2				If Merry has the Ring-bearer trait, he gains a [tactics] icon. While Pippin is in play, Merry gets +1 [attack] and does not exhaust to quest. Action: Give an Ent ally +1 [attack] and +1 [defense] until the end of the round. (Limit once per round.)			2025-02-22 21:16:30
a199f672-0e48-43a2-b317-9bc70ccd7b43	Pippin	a199f672-0e48-43a2-b317-9bc70ccd7b43.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	4		1	Fellowship	Hobbit. Walker.		6			2	1	1	2				Has a [lore] icon. While Merry is in play, Pippin gets +1 [willpower]. Enemies bet –5 engagment cost when making engagement checks against you.			2025-02-22 21:16:30
a199f672-0e48-43a2-b317-9bc70ccd7b43	Pippin	a199f672-0e48-43a2-b317-9bc70ccd7b43.B.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	4		1	Fellowship	Hobbit.		6			2	1	1	2				If Pippin has the Ring-bearer trait, he gains a [lore] icon. While Merry is in play, Pippin gets +1 [attack] and does not exhaust to quest. Action: Ready an Ent ally. (Limit once per round.)			2025-02-22 21:16:30
5b52d0e9-aa60-4d0f-a326-fd5e4e989d18	Legolas	5b52d0e9-aa60-4d0f-a326-fd5e4e989d18.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	5		1	Fellowship	Silvan. Warrior. Walker.		9			1	3	1	3				Cannot participate in an attack with Gimli or attack an enemy that Gimli has defended this round. Response: At the end of the staging step, deal 1 damage to an enemy in the staging area.			2025-02-22 21:16:30
5b52d0e9-aa60-4d0f-a326-fd5e4e989d18	Legolas	5b52d0e9-aa60-4d0f-a326-fd5e4e989d18.B.jpg	multi_sided	Hero	ALeP - Fellowship Precon	1	0373f85e-32cd-479c-bbed-0aaf29d49242	5		1	Fellowship	Silvan. Warrior.		9			1	3	1	3				Gimli gets +1 [attack] and +1 [defense]. Response: At the end of the staging step, deal 1 damage to an enemy in the staging area or engaged with a player.			2025-02-22 21:16:30
