databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side
da365fcc-385e-4824-901a-30381b769561	The Nine are Abroad Rules	da365fcc-385e-4824-901a-30381b769561.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.2	The Nine are Abroad														Page 1/8	Welcome to The Nine are Abroad, an unofficial fan Scenario, developed by A Long-extended Party (ALeP). Component Overview The Nine are Abroad Scenario includes 69 cards, consisting of:  • 4 Rules Cards • 62 Encounter Cards  • 2 Quest Cards • 1 Contract Card Web Resources You can check for any updates from A Long-extended Party at www.alongextendedparty.com. You can build decks and track your plays of these scenarios and others online through RingsDB at www.ringsdb.com. For general rules and definitions of common game terms, visit the Quest Companion at bit.ly/2MKkak9. Expansion Symbol The cards in The Nine are Abroad Scenario can be identified by this symbol before each card’s collector number.		
da365fcc-385e-4824-901a-30381b769561	The Nine are Abroad Rules	da365fcc-385e-4824-901a-30381b769561.B.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.2	The Nine are Abroad																	
4f5758a5-36aa-4865-9fd8-8024464fccc3	The Nine are Abroad 1	4f5758a5-36aa-4865-9fd8-8024464fccc3.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.3	The Nine are Abroad														Page 2/8	“I have an urgent errand,” he said. “My news is evil.” Then he looked about him, as if the hedges might have ears. “Nazgûl,” he whispered. “The Nine are abroad again. They have crossed the River secretly and are moving westward. They have taken the guise of riders in black.” — Radagast, The Fellowship of the Ring In June of T.A. 3018, Radagast travels from Rhosgobel to warn Gandalf of the reappearance of the Nazgûl. Before leaving, he sends forth his birds, bringing the same warning to you and your allies. He requests that you aid him and Gandalf by thwarting the movements and designs of the Black Riders. Are you willing to stand against the terror of the Nine?		
4f5758a5-36aa-4865-9fd8-8024464fccc3	The Nine are Abroad 1	4f5758a5-36aa-4865-9fd8-8024464fccc3.B.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.3	The Nine are Abroad																	
163b38ee-0a4a-4d99-a726-b077d0c32b0c	The Nine are Abroad 2	163b38ee-0a4a-4d99-a726-b077d0c32b0c.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.4	The Nine are Abroad														Page 3/8	The Middle-earth Map Arrange the 10 region cards to form a map of Middle-earth in your staging area, as shown below. In this quest, some effects will tell you to place cards onto or next to certain regions. The rules for interacting with this map are found on rules card 4/8, “Exploring Middle-earth”. Read those rules, then place that card faceup next to the map (also shown below).		
163b38ee-0a4a-4d99-a726-b077d0c32b0c	The Nine are Abroad 2	163b38ee-0a4a-4d99-a726-b077d0c32b0c.B.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.4	The Nine are Abroad																	
693803c2-c514-4cce-86ef-c492cd16ef24	The Nine are Abroad 3	693803c2-c514-4cce-86ef-c492cd16ef24.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.5	The Nine are Abroad														Page 4/8	Exploring Middle-earth Effects on this card are active during the game. Quest Phase All cards on the Middle-earth Map contribute their [threat] except for locations on your current region. Those locations are considered to be active, and progress must first be placed on them (distributed in any way) before it is placed on the current quest. Travel Phase You cannot travel to locations. During the travel phase, as an action, the first player may move the progress token marking your group’s current region to a neighboring region (north, east, south, or west). The first time this action is triggered each round, there is no cost. To trigger it additional times in a round, the first player must remove 3[pp] progress tokens from the main quest. Encounter Phase Only enemies that were on the same region as you at any point during the round can be optionally engaged, and only those enemies will make engagement checks. Immunity Enemies and locations that are not on your current region are immune to player card effects.		
693803c2-c514-4cce-86ef-c492cd16ef24	The Nine are Abroad 3	693803c2-c514-4cce-86ef-c492cd16ef24.B.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.5	The Nine are Abroad																	
86d2880e-8671-46bf-ad2d-e0633d238095	The Nine are Abroad 4	86d2880e-8671-46bf-ad2d-e0633d238095.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.6	The Nine are Abroad														Page 5/8	Investigate Rumors Some cards in this quest instruct your group to “investigate rumors”. To investigate rumors, a player in your group must control at least 1 ready character. If your group is able to investigate rumors, your group must do so. If no players in your group have any ready characters, your group cannot investigate rumors and this text is ignored. To begin, any player exhausts 1 character they control and discards the top X cards from the encounter deck, where X is that character’s highest attribute ([willpower], [attack], or [defense]). Set aside any discarded cards with a Rumor effect. The same or another player may repeat this process any number of times, with an action window occurring between discarding the cards and exhausting another character. Once the players decide to stop exhausting characters, they must choose 1 Rumor effect among the set-aside cards, if any. Then, discard those set-aside cards and resolve the chosen Rumor effect. There is no penalty if no Rumor effects are found. Rumor effects are ignored when the players are not investigating rumors.		
86d2880e-8671-46bf-ad2d-e0633d238095	The Nine are Abroad 4	86d2880e-8671-46bf-ad2d-e0633d238095.B.jpg	multi_sided	Rules	ALeP - The Nine are Abroad	1	1b8513ac-e5d9-43b6-b912-fa16cd1b7686	0.6	The Nine are Abroad																	
