databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
2d46f93a-960b-447a-87e0-433012cd45f9	Leaflock	2d46f93a-960b-447a-87e0-433012cd45f9.jpg	player	Hero	ALeP - Backup	1	1ea20f0a-adae-4690-ad0b-718b18d82e20	1		1	Lore	Ent.		9			1	1	3	4				Cannot have restricted attachments. Leaflock gets –1 threat cost for each Ent hero you control. Response: After a hero you control suffers non-combat damage, heal 1 damage from it. (Limit once per phase.)			2023-12-10 21:02:58
4acc7403-ac0d-4694-a868-9c85050baa72	Thorin Oakenshield	4acc7403-ac0d-4694-a868-9c85050baa72.jpg	player	Hero	ALeP - Backup	1	1ea20f0a-adae-4690-ad0b-718b18d82e20	2		1	Tactics	Dwarf. Noble.		12			3	3	1	5				Setup: Search your deck for King Under the Mountain and attach it to Thorin Oakenshield. Shuffle your deck. Response: When Thorin Oakenshield is destroyed while King Under the Mountain is attached, add him to the victory display and attach King under the Mountain to a different eligible hero. While Thorin Oakenshield is in the victory display, the hero with King Under the Mountain attached gains 2 additional resources during the resource phase.			2025-12-30 21:22:31
7e68f5f9-2123-44ae-8342-ac9ad44889e3	Fighting Knives	7e68f5f9-2123-44ae-8342-ac9ad44889e3.jpg	player	Attachment	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	3			Tactics	Weapon.		1										Attach to a hero with ranged. Restricted. Attached hero gets +1 [attack]. While attacking an enemy engaged with you, attached hero gets +1 [attack].			2025-11-19 15:23:04
18b8e938-c529-4c3a-a8db-7c6c6afd3ab4	Company Scout	18b8e938-c529-4c3a-a8db-7c6c6afd3ab4.jpg	player	Ally	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	4			Tactics	Scout.		2			0	0	0	1				Company Scout gets +1 [willpower] for each [tactics] hero you control that is not committed to the quest.			2025-11-20 07:05:17
d86e8ace-091a-46bb-a22c-faaacd315326	Brothers in Arms	d86e8ace-091a-46bb-a22c-faaacd315326.jpg	player	Attachment	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	5		1	Tactics	Condition.		3										Limit 1 per player. Attach to 2 heroes you control. (Place it between them, with 1 hero on the left and 1 hero on the right. If either hero leaves play, discard this attachment.) Attached hero on the left gets +1 [defense]. Attached hero on the right gets +1 [attack]. Response: After an attached hero exhausts, exhaust Brothers in Arms to ready another attached hero.			2025-11-08 15:46:24
e5d13049-c19c-4cc4-a79f-8d390357de49	Sam Gamgee	e5d13049-c19c-4cc4-a79f-8d390357de49.jpg	player	Hero	ALeP - Backup	1	1ea20f0a-adae-4690-ad0b-718b18d82e20	6		1	Spirit	Hobbit.		8			3	1	1	3				While you control a unique Noldor character, Sam Gamgee gains the Noldor trait. Response: After Sam Gamgee quests successfully, search the top 5 cards of your deck for an ally that shares a Trait with Sam Gamgee and put it into play. At the end of the round, if that ally is still in play, add it to your hand.			2024-06-19 12:51:41
4da27870-a260-4b0b-b63b-aa101ab80732	The Lonely Mountain	4da27870-a260-4b0b-b63b-aa101ab80732.jpg	player	Attachment	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	7			Lore	Song.		1										Play only if you control a Dwarf hero or Bilbo Baggins. Attach to a [lore] hero. Limit 1 per hero. Attached hero gets +1 [defense] (+2 [defense] instead if you control at least 5 Dwarf characters).			2023-12-10 21:02:58
e2aa40ef-ac00-45b7-b596-aa3d83fb872a	The Brown	e2aa40ef-ac00-45b7-b596-aa3d83fb872a.jpg	player	Event	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	8			Neutral	Title.		0										Action: Either attach The Brown to Radagast, or spend 3 resources to search your deck for Radagast, put him into play, attach The Brown to him, and shuffle your deck. Counts as a Title attachment with the text: “Action: Move a resource from Radagast’s pool to an Istari or Creature hero’s pool.”			2025-11-20 15:01:14
4c7f1f0b-a626-4259-81be-d11ff899b3b7	Secrets of the Naith	4c7f1f0b-a626-4259-81be-d11ff899b3b7.jpg	player	Event	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	9			Lore			X										Planning Action: Search the top 10 cards of your deck for an event card with a printed cost of X or less and add it to your hand (2 event cards instead if you control a Silvan hero). Shuffle your deck.			2025-11-08 09:55:15
6ad4c9b1-e96b-4f19-a25e-6bb4002156df	Shathûr Surveyor	6ad4c9b1-e96b-4f19-a25e-6bb4002156df.jpg	player	Ally	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	10			Leadership	Dwarf.		1			0	0	1	1				Action: Exhaust Shathûr Surveyor to shuffle your deck and look at the top 3 cards. Put those cards back on the top of your deck in any order.			2024-01-11 19:12:02
7c5bd8e4-1a85-4aed-96b6-8d7b408d82d7	Loose Boulders	7c5bd8e4-1a85-4aed-96b6-8d7b408d82d7.jpg	player	Event	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	11			Tactics			0										Response: When Loose Boulders is discarded from your deck, if you have not played a copy of it this round, you may play it as if it were in your hand. Action: Deal 1 damage to an enemy in the staging area. Shuffle Loose Boulders into your deck.			2023-12-10 21:02:58
e6a6a0dd-2640-4695-87bf-0a85a89171d6	Delving Greedily	e6a6a0dd-2640-4695-87bf-0a85a89171d6.jpg	player	Attachment	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	12		1	Neutral	Condition.		0										Attach to a Dwarf hero. Forced: If Delving Greedily is discarded from the top of your deck, shuffle Delving Greedily back into your deck and reveal an encounter card. Response: After you discard any number of cards from the top of your deck, exhaust Delving Greedily to add one of those cards to your hand.			2023-12-10 21:02:58
0de6a40a-75ec-4acc-a24a-b6182915a761	Creep Along Quietly	0de6a40a-75ec-4acc-a24a-b6182915a761.jpg	player	Event	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	13			Lore			0										Combat Action: Exhaust a Scout or Hobbit character you control with X [willpower] to choose an enemy engaged with you that has [threat] equal to or less than X. Chosen enemy does not attack you this round.			2023-12-10 21:02:58
8b28dd0c-8ed6-4ed5-a9e2-2abbc7f34698	Honour of Dwarves	8b28dd0c-8ed6-4ed5-a9e2-2abbc7f34698.jpg	player	Attachment	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	14			Neutral	Title.		1										Attach to a character. Attached character gains the Dwarf trait.			2023-12-10 21:02:58
0d811320-7289-44d4-8dc1-0f9328a8ed62	Fire of Orthanc	0d811320-7289-44d4-8dc1-0f9328a8ed62.jpg	player	Event	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	15			Tactics	Spell.	Doomed 1.	0										Play only if you control an Istari hero. Action: Exhaust an ally and choose a location. Place X progress on that location. X is the tens digit of your threat.			2025-02-27 15:53:52
205c3ad3-e128-4d05-9d63-88d04f7bbfaf	Aragorn	205c3ad3-e128-4d05-9d63-88d04f7bbfaf.jpg	player	Ally	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	16		1	Spirit	Dúnedain. Noble. Warrior.		6			2	3	2	4				Aragorn has the hero card type in addition to his ally card type, but does not collect resources during the resource phase. Response: After Aragorn enters play, search your collection for an Artifact card and attach it to Aragorn.			2024-01-14 15:38:17
9533b196-acc5-4404-9799-6e1a2b49a8df	The White	9533b196-acc5-4404-9799-6e1a2b49a8df.jpg	player	Attachment	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	17		1	Neutral	Title.		3										Attach to an Istari character in play or in your discard pile. If attached to the latter, put it into play under your control. Allies that share a Trait with a hero you control get +1 [defense] and +1 hit point.			2024-02-12 22:18:25
44b1cf20-ae66-4fad-a4a4-280fe73f3b57	Nalir	44b1cf20-ae66-4fad-a4a4-280fe73f3b57.jpg	player	Ally	ALeP - Backup	3	1ea20f0a-adae-4690-ad0b-718b18d82e20	18		1	Spirit	Dwarf. Isengard.	Doomed 1.	2			2	0	1	2				Response: After you raise your threat from another player card effect, reduce your threat by 1. (Limit once per phase.) Forced: After you raise your threat from an encounter card effect, raise your threat by 1. (Limit once per phase.)			2023-12-10 21:02:58
7257ffbf-ac27-4138-8194-3e51965b99e4	Anor Stone	7257ffbf-ac27-4138-8194-3e51965b99e4.jpg	multi_sided	Player Objective	ALeP - Backup	1	1ea20f0a-adae-4690-ad0b-718b18d82e20	19		1			Doomed 2.											Setup: Each player may freely opt in. Flip this card over.			2024-04-14 01:36:00
