databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side
0a2793ce-6229-4d4d-b29f-4409bf57e322	The Glittering Caves Rules	0a2793ce-6229-4d4d-b29f-4409bf57e322.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.2	The Glittering Caves														Page 1/10	Welcome to The Glittering Caves, an unofficial fan Adventure Pack, developed by A Long-extended Party (ALeP). This expansion sees the heroes hunted by the wraith of Helm Hammerhand as they seek a way to break his curse of bloodlust. Component Overview The Glittering Caves Adventure Pack includes 70 cards, consisting of:  • 5 Rules Cards • 37 Encounter Cards  • 2 Hero Cards • 2 Quest Cards  • 24 Player Cards Web Resources You can check for any updates from A Long-extended Party at www.alongextendedparty.com. You can build decks and track your plays of these scenarios and others online through RingsDB at www.ringsdb.com. For general rules and definitions of common game terms, visit the Quest Companion at bit.ly/2MKkak9.		
0a2793ce-6229-4d4d-b29f-4409bf57e322	The Glittering Caves Rules	0a2793ce-6229-4d4d-b29f-4409bf57e322.B.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.2	The Glittering Caves																	
296e2ed0-1730-472c-808b-5848ab4f11bc	The Glittering Caves 1	296e2ed0-1730-472c-808b-5848ab4f11bc.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.3	The Glittering Caves														Page 2/10	Expansion Symbol The cards in the Oaths of the Rohirrim cycle can be identified by this symbol before each card’s collector number. The Glittering Caves Difficulty level = 7 A great gale blew across the Gap of Rohan and across the battlefield where the heroes had captured the traitor Gálmód. His Dunlending guard, what was left of them, had flung their blades into the snow and begged mercy in the guttural tongue of the hillmen. The rushing wind carried with it the sound of a dread shriek, a calamitous wailing which echoed darkly among the snowbanks. All turned, victor and captive, traitor and true, to the scream’s source. A single foe, standing lonesome on the ridge, its form at once spectral and fleshly. For such a thing could be naught but a foe, though decked in the garb of ancient Rohan. Its face was the pure spite of one cursed to wander after death, its seething scream a razor upon the very wind.		
296e2ed0-1730-472c-808b-5848ab4f11bc	The Glittering Caves 1	296e2ed0-1730-472c-808b-5848ab4f11bc.B.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.3	The Glittering Caves																	
751825ad-9254-4733-87c5-708f642a4f2c	The Glittering Caves 2	751825ad-9254-4733-87c5-708f642a4f2c.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.4	The Glittering Caves														Page 3/10	“It cannot be,” stammered Gálmód. “It cannot be! ’Tis the wraith of King Helm the Accursed. The Bane of Dunland. The Hammerhand. Helm is arisen and back to war.” Then the scream upon the wind became a growl, and the growl a voice so deep it rumbled the very roots of the mountains. “I smell the reek of Dunland.” It took a step forward, then another. “Come, traitors. Come, so I may feel your bones break beneath my fists.” At once the wind rose and pelted the heroes with ice. Soon none could see the person next to them. Nor could they see the king’s wraith as it stalked the storm, quiet and desolate as a shadow, moving among the snowblind captives, its fists tearing and smashing, the captives slumping one by one like broken dolls. When a body fell at Gálmód’s feet and the traitor looked up, he saw the perilous figure, the bitter king, raising his fists. “Fly!” cried one of the heroes. “Fly! The king is not himself. He is cursed with bloodlust.” “There is no shelter,” cried another. “We cannot defeat him with force of arms!” “There was a cave,” said the last. “I remember we passed a cave.”		
751825ad-9254-4733-87c5-708f642a4f2c	The Glittering Caves 2	751825ad-9254-4733-87c5-708f642a4f2c.B.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.4	The Glittering Caves																	
7f397f17-78ec-4a9c-bf6d-cbd71181515b	The Glittering Caves 3	7f397f17-78ec-4a9c-bf6d-cbd71181515b.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.5	The Glittering Caves														Page 4/10	They fled. Gálmód followed close behind the heroes. Driven by terror above all, the Dunlending captives scattered. Amid the blustering wind walked the wraith, implacable. They found the cave. A small crevice it was, which opened up to a vast chamber below, rife with stones which glinted and glimmered in the flicker of torchlight. “The Glittering Caves,” said one hero. “These tunnels lead all the way to the depths beneath the Hornburg and the fortress of Helm’s Deep. And where are our captives? Some of them no doubt skulk in the tunnels below. Fear has made them mad.” “We must press onward,” said another. “The wraith will not stop.” “It is said the king was unstoppable in battle, unleashed by the fury of his battle-horn. Perhaps if we can find it we may yet call him to his senses.” And so, the heroes went deeper, blades at the ready, and the snow piled behind them until the cave’s throat was a wall of ice, and the ghost of Lord Helm stalked the caves with his ears pricked for the sounds of men.		
7f397f17-78ec-4a9c-bf6d-cbd71181515b	The Glittering Caves 3	7f397f17-78ec-4a9c-bf6d-cbd71181515b.B.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.5	The Glittering Caves																	
2362534c-7f0d-45b3-980b-9e11a1b6e9b7	The Glittering Caves 4	2362534c-7f0d-45b3-980b-9e11a1b6e9b7.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.6	The Glittering Caves														Page 5/10	“The Glittering Caves” is played with an encounter deck built with all the cards from the following encounter sets: The Glittering Caves, Exploring the Caves, Search for the Horn, and Dunlending Warriors. (Dunlending Warriors can be found in the Children of Eorl deluxe expansion.) These sets are indicated by the following icons: The Cave Card Type The 12 cards from the Exploring the Caves encounter set are “cave” cards, a new card type introduced in this scenario. Caves are immune to player card effects. Throughout the game, players move unique tokens representing themselves and Helm Hammerhand around a 4-by-3 grid of cave cards, called the Caves Map. When a player’s token is on a cave, that player and each character that player controls are considered to be at that cave. Travel actions on caves can only be performed by a player at that cave. Other game mechanics, like ranged and sentinel, function as normal, even while players are at different caves.		
2362534c-7f0d-45b3-980b-9e11a1b6e9b7	The Glittering Caves 4	2362534c-7f0d-45b3-980b-9e11a1b6e9b7.B.jpg	multi_sided	Rules	ALeP - The Glittering Caves	1	3104cd2a-ccce-44a7-bc6e-e3433636c329	0.6	The Glittering Caves																	
