databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
5e8f3fd7-1faf-441c-aaf0-b701d2132645	Placeholder Harad Hero	5e8f3fd7-1faf-441c-aaf0-b701d2132645.jpg	player	Hero	ALeP - The Mathom House	1	340a1fa7-34a7-4477-a866-6f9442b7f81e	1		1	Tactics	Harad. Dale.	Ranged.	8			1	2	2	3				Allies get +1 [attack] while participating in an attack with Placeholder Harad Hero. Response: After an ally and Placeholder Harad Hero participate in an attack that destroys an enemy, draw a card. Then, shuffle a copy of that ally from your discard pile into your deck. (Limit once per phase.)			2025-11-08 14:16:40
5d1213c9-f0cd-4450-ba0c-eef11a421f54	Farmer Maggot	5d1213c9-f0cd-4450-ba0c-eef11a421f54.jpg	player	Hero	ALeP - The Mathom House	1	340a1fa7-34a7-4477-a866-6f9442b7f81e	2		1	Leadership	Hobbit.		8			2	2	1	3				While Farmer Maggot is ready, Creature allies get +1 [willpower]. Response: When playing a Creature ally from your hand, increase its cost by 1 to give it +2 [attack] or +2 [defense] until the end of the round.			2025-11-08 11:48:59
fd09c7df-f4ea-4511-b859-d847c589b1fd	Abaan	fd09c7df-f4ea-4511-b859-d847c589b1fd.jpg	player	Ally	ALeP - The Mathom House	3	340a1fa7-34a7-4477-a866-6f9442b7f81e	3		1	Leadership	Harad.		1			0	0	0	3				Response: After a unique Harad ally card enters your discard pile, add that ally’s printed [willpower], [attack] and [defense] to Abaan’s corresponding attributes until the end of the phase. (Limit once per phase.)			2024-02-17 20:19:44
64c0a080-76d4-4cc7-81ec-b0fbef974551	Bergil	64c0a080-76d4-4cc7-81ec-b0fbef974551.jpg	player	Ally	ALeP - The Mathom House	3	340a1fa7-34a7-4477-a866-6f9442b7f81e	4		1	Spirit	Gondor. Servant.		1			1	1	0	1				Response: After a hero you control defends an attack and takes no damage, ready Bergil.			2023-12-10 21:02:58
2a201ca5-e8eb-4d1d-bd6d-3d49bbf29799	Tamed Mûmak	2a201ca5-e8eb-4d1d-bd6d-3d49bbf29799.jpg	player	Ally	ALeP - The Mathom House	3	340a1fa7-34a7-4477-a866-6f9442b7f81e	5			Leadership	Creature. Harad.		4			0	6	0	8				Limit 1 per player. Forced: After Tamed Mûmak exhausts, exhaust another Harad character you control or discard Tamed Mûmak. Forced: At the end of the round, raise your threat by 1.			2025-11-08 14:56:41
e041ecd5-d80f-45be-be88-eea87716a8d9	Caravan Merchant	e041ecd5-d80f-45be-be88-eea87716a8d9.jpg	player	Ally	ALeP - The Mathom House	3	340a1fa7-34a7-4477-a866-6f9442b7f81e	6			Leadership	Harad.		1			0	0	0	2				Exhaust Caravan Merchant and discard an item from your hand to add 1 resource to a Harad hero’s resource pool.			2024-02-17 19:27:06
8ccb20f3-be00-4f58-a03a-17eda02af72d	Southron Camel	8ccb20f3-be00-4f58-a03a-17eda02af72d.jpg	player	Ally	ALeP - The Mathom House	3	340a1fa7-34a7-4477-a866-6f9442b7f81e	7			Tactics	Mount.		1			1	1	1	1				Play only if you control a Harad hero. Cannot have attachments. Action: Attach Southron Camel to an ally you control. (Counts as a Mount attachment with the text: “Restricted. Limit 1 per ally. Attached ally gets +1 [willpower] and does not exhaust to quest.”)			2024-02-17 19:32:25
a51cfdf6-cb5a-4d53-9d20-7b2a329b2ca0	A Tradition Continued	a51cfdf6-cb5a-4d53-9d20-7b2a329b2ca0.jpg	player	Event	ALeP - The Mathom House	3	340a1fa7-34a7-4477-a866-6f9442b7f81e	8			Spirit			0										Action: Discard a Harad ally you control to put into play a Harad ally in your discard pile.			2024-02-19 01:48:30
251ea49c-5cb2-4593-855c-a9849a199a54	Inheritance	251ea49c-5cb2-4593-855c-a9849a199a54.jpg	player	Event	ALeP - The Mathom House	3	340a1fa7-34a7-4477-a866-6f9442b7f81e	9			Leadership			0										Planning Action: Choose an Item attachment in your discard pile with a printed cost of 2 or less and attach it to an eligible Harad character in play.			2024-02-19 01:54:38
899bce50-c9a4-48ed-a60f-fa507b9c117b	Curious Fox	899bce50-c9a4-48ed-a60f-fa507b9c117b.jpg	player	Ally	ALeP - The Mathom House	3	340a1fa7-34a7-4477-a866-6f9442b7f81e	10			Spirit	Creature.		1			2	0	0	1				Cannot have attachments. Limit 1 per deck. Response: After Curious Fox enters play, look at the top 3 cards of the encounter deck or a player’s deck. Forced: After the active location is explored, remove Curious Fox from the game.			2024-02-29 23:42:01
