databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
278d0a2b-6b6d-4268-8c02-dc3bec9a79c4	Escape from Umbar	278d0a2b-6b6d-4268-8c02-dc3bec9a79c4.jpg	multi_sided	Nightmare	ALeP - Escape from Umbar Nightmare	1	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	1	Escape from Umbar Nightmare															You are playing Nightmare mode. Forced: After an enemy engages a player, that player must either remove 1 progress from the main quest or that enemy makes an immediate attack.			2023-12-10 21:02:58
278d0a2b-6b6d-4268-8c02-dc3bec9a79c4	Escape from Umbar	278d0a2b-6b6d-4268-8c02-dc3bec9a79c4.B.jpg	multi_sided	Nightmare	ALeP - Escape from Umbar Nightmare	1	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	1	Escape from Umbar Nightmare															Begin with the standard quest deck and encounter deck for the Escape from Umbar scenario. Remove the following cards, in the specified quantities, from the standard encounter deck: 1x Umbar Sentry 2x Umbar Square 1x Haradrim Estate 1x In Enemy Territory 2x Enfeebled 1x Southron Captain 3x Southron Soldier 1x Southron Archer Then, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard Escape from Umbar encounter deck. Finally, flip this setup card over and place it next to the quest deck. Its effect remains active throughout the game, which is now ready to begin.			2023-12-10 21:02:58
10f68c92-1926-4794-9c70-cf5c9c32d862	Captain of the Guard	10f68c92-1926-4794-9c70-cf5c9c32d862.jpg	encounter	Enemy	ALeP - Escape from Umbar Nightmare	1	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	2	Escape from Umbar Nightmare	1	Nightmare	Harad.			42	2		3	3	10		5		Cannot have attachments. While Captain of the Guard is in the staging area, it gets +X [threat]. While Captain of the Guard is engaged with a player, it gets +X [attack]. X is the number of progress tokens on the main quest. Quest Action: Remove exactly 5 progress tokens from the main quest.			2023-12-10 21:02:58
ea8f661b-a112-4852-99ad-bd0124f968e6	Umbar City Watch	ea8f661b-a112-4852-99ad-bd0124f968e6.jpg	encounter	Enemy	ALeP - Escape from Umbar Nightmare	3	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	3	Escape from Umbar Nightmare		Nightmare	Harad.			30	4		4	2	5				Forced: When Umbar City Watch attacks, either remove 2 progress from the main quest, or the engaged player raises their threat by 3.	Shadow: Raise your threat by 2 (4 instead if there are 10 or more progress tokens on the main quest.)		2023-12-10 21:02:58
b8ccc5a0-22c5-4cbb-b4b6-c61466ef8796	Bounty Hunter	b8ccc5a0-22c5-4cbb-b4b6-c61466ef8796.jpg	encounter	Enemy	ALeP - Escape from Umbar Nightmare	3	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	4	Escape from Umbar Nightmare		Nightmare	Harad.			39	3		5	3	6				Forced: When Bounty Hunter attacks, either remove 1 progress from the main quest, or deal 1 damage to the defending character.	Shadow: Deal 1 damage to the defending character.		2023-12-10 21:02:58
e953f32b-b9e6-4fcd-a16d-653832430fb0	Watch Tower	e953f32b-b9e6-4fcd-a16d-653832430fb0.jpg	encounter	Location	ALeP - Escape from Umbar Nightmare	3	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	5	Escape from Umbar Nightmare		Nightmare	City.				3					6			While Watch Tower is in the staging area, it gains: “Forced: At the end of the quest phase, remove 1 progress token from the main quest, if able.” Travel: Discard cards from the encounter deck until an enemy is discarded. Add that enemy to the staging area.			2023-12-10 21:02:58
08f106a6-5ba2-4e6a-9e54-c8e28cff7a1f	Crowded Marketplace	08f106a6-5ba2-4e6a-9e54-c8e28cff7a1f.jpg	encounter	Location	ALeP - Escape from Umbar Nightmare	3	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	6	Escape from Umbar Nightmare		Nightmare	City.				4					8			No more than 5 progress tokens can be placed on a quest during the quest phase. Travel: Raise each player’s threat by 3.			2023-12-10 21:02:58
26d62f55-18a1-4f0f-9cb5-2c43717613fb	Sound the Alarm!	26d62f55-18a1-4f0f-9cb5-2c43717613fb.jpg	encounter	Treachery	ALeP - Escape from Umbar Nightmare	3	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	7	Escape from Umbar Nightmare		Nightmare													When Revealed: All enemies in the staging area make engagement checks. Each enemy which remains in the staging area gains Archery 2 until the end of the round. If no enemies remain in the staging area, Sound the Alarm! gains Surge.	Shadow: Choose a non-unique enemy in the staging area. Engage it and deal it a shadow card.		2023-12-10 21:02:58
1debf7da-4bee-4389-ae6d-bacc2ef8442b	Increased Patrols	1debf7da-4bee-4389-ae6d-bacc2ef8442b.jpg	encounter	Treachery	ALeP - Escape from Umbar Nightmare	2	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	8	Escape from Umbar Nightmare		Nightmare		Doomed 2.											When Revealed: Return all enemies engaged with players to the staging area. If this effect returned no enemies, Increased Patrols gains Surge.	Shadow: Return attacking enemy to the staging area after it attacks.		2023-12-10 21:02:58
a18e4c6e-0fa3-4093-ab63-59a95ca2f01a	Lead Them Astray	a18e4c6e-0fa3-4093-ab63-59a95ca2f01a.jpg	encounter	Side Quest	ALeP - Escape from Umbar Nightmare	1	3bc34620-a1a8-48b8-8005-7d62d3cf26a6	9	Escape from Umbar Nightmare		Nightmare										6			Forced: At the end of the quest phase, place 1 resource token on this quest. Then, remove X progress from the main quest, where X is the number of resource tokens on this quest. Response: When this quest is defeated, choose and discard an enemy in the staging area.			2023-12-10 21:02:58
