databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
1a33b8d8-17cd-4d98-9d1e-8a516571e98f	The Withered Heath	1a33b8d8-17cd-4d98-9d1e-8a516571e98f.jpg	multi_sided	Nightmare	ALeP - The Withered Heath Nightmare	1	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	1	The Withered Heath Nightmare															You are playing Nightmare mode. Forced: After a Dragon Sign is added to the victory display, the highest [attack] enemy in the staging area engages the first player and makes an immediate attack. Forced: When the players are on stage 4B, Cold-Drake gains, “Forced: When Cold Drake attacks you, either exhaust X characters you control or give the Cold Drake +X [attack] for this attack. X is the number of Dragon signs in the victory display.”			2023-12-10 21:02:58
1a33b8d8-17cd-4d98-9d1e-8a516571e98f	The Withered Heath	1a33b8d8-17cd-4d98-9d1e-8a516571e98f.B.jpg	multi_sided	Nightmare	ALeP - The Withered Heath Nightmare	1	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	1	The Withered Heath Nightmare															Begin with the standard quest deck and encounter deck for The Withered Heath scenario. Remove the following cards, in the specified quantities, from the standard encounter deck: 1x Hunting the Beast (quest stage 3) 1x Lost Armory 1x Ancient Treasury 1x Cave Entrance 3x Mountain Pass 2x Dwarven Door 2x Black Bats 3x Giant Spider 2x Ruined Supplies 2x Lost in the Wild Set the Abandoned Nest and Dragon Lair locations aside. When creating the Caves deck, shuffle these two locations into it also. Then, shuffle the remaining encounter cards in this Nightmare Deck into the remainder of the standard The Withered Heath encounter deck. Finally, flip this setup card over and place it next to the quest deck. Its effects remain active throughout the game, which is now ready to begin.			2023-12-10 21:02:58
2b71f751-ba59-4704-b387-0de0e12343cd	Hunting the Beast	2b71f751-ba59-4704-b387-0de0e12343cd.jpg	multi_sided	Quest	ALeP - The Withered Heath Nightmare	1	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	2	The Withered Heath Nightmare		Nightmare			3										When Revealed: Shuffle 2 set-aside Dragon Sign objectives into the Caves deck. Set Cold-Drake aside, out of play. (Do not remove damage tokens from it.) Shuffle the encounter discard pile into the encounter deck and discard cards from the top until X enemies or locations are discarded, where X is the number of players. Add each discarded enemy or location to the staging area.		A	2023-12-10 21:02:58
2b71f751-ba59-4704-b387-0de0e12343cd	Hunting the Beast	2b71f751-ba59-4704-b387-0de0e12343cd.B.jpg	multi_sided	Quest	ALeP - The Withered Heath Nightmare	1	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	2	The Withered Heath Nightmare					3							9			Forced: At the end of the round remove three damage tokens from Cold-Drake and place 1 resource token on it. The first player exhausts X characters and looks at the top X cards of the encounter deck, reveals one of those cards and discards the rest. X is the number of resources on Cold-Drake. The players cannot defeat this stage unless at least 3 Dragon Signs are in the Victory Display. When the players advance remove all resource tokens from Cold-Drake.		B	2023-12-10 21:02:58
de7cac9c-b180-4476-abaf-b11d2f1c630d	Scion of Scatha	de7cac9c-b180-4476-abaf-b11d2f1c630d.jpg	encounter	Enemy	ALeP - The Withered Heath Nightmare	1	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	3	The Withered Heath Nightmare		Nightmare	Dragon.			40	4		5	2	8				Cannot have non-objective attachments. Response: When Scion of Scatha is defeated, return it to the staging area to search the Caves deck for a Dragon Sign objective and attach it to Scion of Scatha. Shuffle the Caves deck. While guarding a card, Scion of Scatha gets +2 [attack] and adds it [threat] to the total threat in the staging area, regardless of its location.			2023-12-10 21:02:58
07c28f1b-6c45-49a0-be74-c6e7cd4e3c03	Dragon Juvenile	07c28f1b-6c45-49a0-be74-c6e7cd4e3c03.jpg	encounter	Enemy	ALeP - The Withered Heath Nightmare	2	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	4	The Withered Heath Nightmare		Nightmare	Dragon.			30	3		4	3	6				When Revealed: Raise each player’s threat by X, where X is the number of Dragon Signs in the victory display.	Shadow: If this attack destroys a character, raise each player’s threat by X, where X is the number of Dragon Signs in the Victory Display.		2023-12-10 21:02:58
ba772675-6c72-4e26-8cd7-c8fee33a3ea4	Moor-stalker	ba772675-6c72-4e26-8cd7-c8fee33a3ea4.jpg	encounter	Enemy	ALeP - The Withered Heath Nightmare	2	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	5	The Withered Heath Nightmare		Nightmare	Creature.			46	5		4	3	4				Forced: At the beginning of the encounter phase, if Moor-stalker is in the staging area, it makes an immediate attack against the first player. If the shadow card dealt for this attack has no effect, Moor-stalker cannot be engaged this round.	Shadow: You must cancel all damage that would be dealt by this attack and exhaust a number of characters you control equal to the amount of damage canceled.		2023-12-10 21:02:58
ee3bb31f-8588-4a23-b21a-a159f9ed579a	Abandoned Nest	ee3bb31f-8588-4a23-b21a-a159f9ed579a.jpg	encounter	Location	ALeP - The Withered Heath Nightmare	1	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	6	The Withered Heath Nightmare		Nightmare	Underground. Dark.				3					3			Enemies cannot be optionally engaged, cannot attack, and cannot be attacked. Response: When Abandoned Nest is explored, raise each player’s threat by 3 to search the Caves deck for a Dragon Sign objective and reveal it.			2023-12-10 21:02:58
b5796287-0115-4344-9125-0619dbba41ee	Dragon Lair	b5796287-0115-4344-9125-0619dbba41ee.jpg	encounter	Location	ALeP - The Withered Heath Nightmare	1	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	7	The Withered Heath Nightmare		Nightmare	Underground. Dark.				7					7			Each player must commit at least 2 heroes to the quest each quest phase, if able. Forced: After Dragon Lair becomes the active location, reveal each Dragon Sign in the victory display. If only 1 objective was revealed this way, each player must search the encounter deck and discard pile for an enemy or location and reveal it.			2023-12-10 21:02:58
02fb18c5-9da7-430a-806d-7ee85b39f73b	Slopes of the Valley	02fb18c5-9da7-430a-806d-7ee85b39f73b.jpg	encounter	Location	ALeP - The Withered Heath Nightmare	2	4e5f1524-4d7d-4abe-80e4-4ab76c2dfe61	8	The Withered Heath Nightmare		Nightmare	Mountain.	Deep.			2					5			Forced: When the players ready characters during the refresh phase, either raise each player’s threat by 2, or each player cannot ready more than 7 characters. Travel: Resolve the “when revealed” effect of the topmost treachery in the encounter discard pile.			2023-12-10 21:02:58
