databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
f32ad408-c413-49ec-b3dc-dc3acdf43198	Take It Gandalf!	f32ad408-c413-49ec-b3dc-dc3acdf43198.jpg	multi_sided	Objective	ALeP - The Mirror of Galadriel 2	1	82d6a335-e773-4d22-9d91-f9aad0989467	20	The Mirror of Galadriel			Scenario. Shire.												Setup: Put objective-hero Gandalf into play and attach The One Ring to him, Tempting side faceup. Use The Mirror of Galadriel - Shire encounter set to build the encounter deck. Flip this card over and add it to the staging area.			2026-06-01 17:29:07
f32ad408-c413-49ec-b3dc-dc3acdf43198	Take It Gandalf!	f32ad408-c413-49ec-b3dc-dc3acdf43198.B.jpg	multi_sided	Objective	ALeP - The Mirror of Galadriel 2	1	82d6a335-e773-4d22-9d91-f9aad0989467	20	The Mirror of Galadriel			Scenario. Shire.												Each character with the Hobbit trait gets +1 hit point. Forced: After a Shire location is explored, place X [threat] tokens here, where X is its printed [threat].			2026-06-01 17:29:07
1d5a8cfa-7a19-45e7-b39f-6d27e7bdfd3e	A New Dark Lord	1d5a8cfa-7a19-45e7-b39f-6d27e7bdfd3e.jpg	multi_sided	Objective	ALeP - The Mirror of Galadriel 2	1	82d6a335-e773-4d22-9d91-f9aad0989467	43	The Mirror of Galadriel			Villain.												Setup: Set aside the Gandalf enemy from The Mirror of Galadriel - Gandlaf encounter set. Shuffle the remaining cards of that encounter set together to create the Villain deck. Flip this card over and add it to the staging area.			2026-06-01 17:29:07
1d5a8cfa-7a19-45e7-b39f-6d27e7bdfd3e	A New Dark Lord	1d5a8cfa-7a19-45e7-b39f-6d27e7bdfd3e.B.jpg	multi_sided	Objective	ALeP - The Mirror of Galadriel 2	1	82d6a335-e773-4d22-9d91-f9aad0989467	43	The Mirror of Galadriel			Villain.												Forced: After The One Ring exhausts, add 1 [threat] token to A New Dark Lord. When Villain is Revealed: Discard the Ring-lord. Attach The One Ring to Gandalf the Black, Claimed side faceup. Flip the encounter deck over so the top card is always visible to all players.			2026-06-01 17:29:07
ae007750-56c9-46b6-8f00-d126b830eebb	Gandalf	ae007750-56c9-46b6-8f00-d126b830eebb.jpg	encounter	Objective Ally	ALeP - The Mirror of Galadriel 2	1	82d6a335-e773-4d22-9d91-f9aad0989467	44	The Mirror of Galadriel - Shire	1		Istari.					4	4	4	4				The first player gains control of Gandalf. Play with the top card of your deck faceup. Response: After Gandalf quests sucessfully, choose 1: Reduce your threat by 1, deal 1 damage to an enemy in play, or draw 1 card.			2026-06-01 19:51:57
27195977-6d26-45b1-ab28-baefce4235a6	Brandywall	27195977-6d26-45b1-ab28-baefce4235a6.jpg	encounter	Location	ALeP - The Mirror of Galadriel 2	3	82d6a335-e773-4d22-9d91-f9aad0989467	45	The Mirror of Galadriel - Shire			Shire. Wall.				2					2			While Brandywall is your active location, you must choose to optionally engage enemies you reveal through Siege of Middle-earth’s Forced effect, if able. Forced: When Brandywall is explored, the Ring-lord player either exhausts The One Ring or reveals an encounter card.			2026-06-01 19:26:50
78bcdc52-4d84-43e3-acbf-41194382608b	Bridge Gate	78bcdc52-4d84-43e3-acbf-41194382608b.jpg	encounter	Location	ALeP - The Mirror of Galadriel 2	1	82d6a335-e773-4d22-9d91-f9aad0989467	46	The Mirror of Galadriel - Shire	1		Shire. Gate.				5					4	-10		Forced: After Bridge Gate is explored, each player retreats 2.			2026-06-01 20:17:38
11b67be4-861a-4ecc-8208-05834b58b7f7	Green-hill Country	11b67be4-861a-4ecc-8208-05834b58b7f7.jpg	encounter	Location	ALeP - The Mirror of Galadriel 2	2	82d6a335-e773-4d22-9d91-f9aad0989467	47	The Mirror of Galadriel - Shire			Shire.				3					2			Travel: Raise your threat by 3 for each hero you control with 3 or more hit points.			2026-06-01 20:17:38
a76dfbd1-efcb-4d26-b79c-edc7970e46ff	South Farthing	a76dfbd1-efcb-4d26-b79c-edc7970e46ff.jpg	encounter	Location	ALeP - The Mirror of Galadriel 2	2	82d6a335-e773-4d22-9d91-f9aad0989467	48	The Mirror of Galadriel - Shire			Shire. South.				2					4			While South Farthing is your active location, your heroes gain the Hobbit trait. Travel: Raise your threat by 2.			2026-06-19 17:59:53
4ea2a5b5-fcdc-4f97-848b-c3a06938430a	East Farthing	4ea2a5b5-fcdc-4f97-848b-c3a06938430a.jpg	encounter	Location	ALeP - The Mirror of Galadriel 2	2	82d6a335-e773-4d22-9d91-f9aad0989467	49	The Mirror of Galadriel - Shire			Shire. East.				3					4			Travel: Raise your threat by 2. The Ring-lord player may exhaust The One Ring to have you search your deck for a non-unique Weapon or Armor attachment, attach it to an eligible character you control, and shuffle your deck.			2026-06-19 17:59:53
