databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
000d193c-5dcf-41c9-b13d-77970b7e77d3	The Siege of Gondor	000d193c-5dcf-41c9-b13d-77970b7e77d3.jpg	multi_sided	Nightmare	ALeP - The Siege of Gondor Nightmare	1	84865317-b076-400e-ac28-8e38cd43ac5b	1	The Siege of Gondor Nightmare															You are playing Nightmare mode.			2025-02-23 18:06:38
000d193c-5dcf-41c9-b13d-77970b7e77d3	The Siege of Gondor	000d193c-5dcf-41c9-b13d-77970b7e77d3.B.jpg	multi_sided	Nightmare	ALeP - The Siege of Gondor Nightmare	1	84865317-b076-400e-ac28-8e38cd43ac5b	1	The Siege of Gondor Nightmare																		2025-02-23 18:06:38
b4cf5445-5252-455a-814b-d3cd115728c4	The Viper	b4cf5445-5252-455a-814b-d3cd115728c4.jpg	encounter	Side Quest	ALeP - The Siege of Gondor Nightmare	1	84865317-b076-400e-ac28-8e38cd43ac5b	2	The Siege of Gondor Nightmare		Nightmare	Ship.									8	3		Forced: At the beginning of the Travel phase, discard the top card of the Encounter deck. If it is has the Corsair trait, put it into play engaged with the first player. Response: After this quest is added to the victory display, if there are 2 or more side quests with the Ship trait in the victory display, remove 1 resource from The Corsair Fleet.			2025-06-28 20:51:00
810993be-e48b-431a-8824-ae627c508da5	The Scorpion	810993be-e48b-431a-8824-ae627c508da5.jpg	encounter	Side Quest	ALeP - The Siege of Gondor Nightmare	1	84865317-b076-400e-ac28-8e38cd43ac5b	3	The Siege of Gondor Nightmare		Nightmare	Ship.	Surge.								8	3		Forced: At the beginning of the Travel phase, discard the top card of the Encounter deck. If it is a location, add it to the staging area. Response: After this quest is added to the victory display, if there are 2 or more side quests with the Ship trait in the victory display, remove 1 resource from The Corsair Fleet.			2025-06-28 20:51:00
06a01ffd-9af4-42e5-a631-a04e476730bc	The Great Ape	06a01ffd-9af4-42e5-a631-a04e476730bc.jpg	encounter	Side Quest	ALeP - The Siege of Gondor Nightmare	1	84865317-b076-400e-ac28-8e38cd43ac5b	4	The Siege of Gondor Nightmare		Nightmare	Ship.									8	3		Forced: At the beginning of the Travel phase, discard the top card of the Encounter deck. If it is a treachery, reveal it. Response: After this quest is added to the victory display, if there are 2 or more side quests with the Ship trait in the victory display, remove 1 resource from The Corsair Fleet.			2025-06-28 20:51:00
32462469-b922-495c-b260-13c7d11592c9	The Mûmak	32462469-b922-495c-b260-13c7d11592c9.jpg	encounter	Side Quest	ALeP - The Siege of Gondor Nightmare	1	84865317-b076-400e-ac28-8e38cd43ac5b	5	The Siege of Gondor Nightmare		Nightmare	Ship.	Surge.								8	3		Forced: At the beginning of the Travel phase, discard the top card of the Encounter deck. Raise each player’s threat by X, where X is twice the threat of the discarded card. Response: After this quest is added to the victory display, if there are 2 or more side quests with the Ship trait in the victory display, remove 1 resource from The Corsair Fleet.			2025-06-28 20:51:00
799913b3-1b23-4e38-a6ff-55ebd2dd035a	Great Corsair Ship	799913b3-1b23-4e38-a6ff-55ebd2dd035a.jpg	encounter	Location	ALeP - The Siege of Gondor Nightmare	1	84865317-b076-400e-ac28-8e38cd43ac5b	6	The Siege of Gondor Nightmare	1	Nightmare	Ship.				X					5	3		X is the number of resources on The Corsair Fleet. The players cannot travel here unless there are at least 2[pp] cards with the Ship trait in the victory display. Travel: Each player searches the encounter deck and discard pile for a Corsair enemy and adds it to the staging area. One of those enemies must be Corsair Captain, if able.			2025-03-01 04:20:44
d667f22b-6c02-407f-aa66-766422fe2e11	Bays of Gondor	d667f22b-6c02-407f-aa66-766422fe2e11.jpg	encounter	Location	ALeP - The Siege of Gondor Nightmare	2	84865317-b076-400e-ac28-8e38cd43ac5b	7	The Siege of Gondor Nightmare		Nightmare	City.				0					10			The players cannot travel to Bays of Gondor. Forced: When the encounter deck is shuffled, either each player raises their threat by 3, or place 1 resource token on The Corsair Fleet.			2025-06-28 20:51:00
6c00207a-dd95-4271-8284-803212e0ec0f	Umbar Longboat	6c00207a-dd95-4271-8284-803212e0ec0f.jpg	encounter	Enemy	ALeP - The Siege of Gondor Nightmare	3	84865317-b076-400e-ac28-8e38cd43ac5b	8	The Siege of Gondor Nightmare		Nightmare	Ship.			50	6		0	0	12		3		Cannot attack. Immune to player card effects. Forced: When Umbar Longboat is dealt a shadow card, look at it. If it has the Corsair trait, engage it and deal it a shadow card.			2025-03-01 04:20:44
e820e6e0-e420-4a95-81d9-029345cc49cc	Corsair Boatswain	e820e6e0-e420-4a95-81d9-029345cc49cc.jpg	encounter	Enemy	ALeP - The Siege of Gondor Nightmare	2	84865317-b076-400e-ac28-8e38cd43ac5b	9	The Siege of Gondor Nightmare		Nightmare	Corsair.			27	2		2	2	2				Corsair Boatswain gets +1 [threat], +1 [attack], +1 [defense] and +1 hit point for each Ship in play. Forced: When Corsair Boatswain is dealt a shadow card, look at it. If it has the Ship trait, add it to the staging area.	Shadow: Either raise your threat by 5, or this attack is considered undefended.		2025-03-01 04:20:44
e05ee561-08d3-4b86-ac4c-64e47a264420	Corsair Reinforcements	e05ee561-08d3-4b86-ac4c-64e47a264420.jpg	encounter	Treachery	ALeP - The Siege of Gondor Nightmare	3	84865317-b076-400e-ac28-8e38cd43ac5b	10	The Siege of Gondor Nightmare		Nightmare													When Revealed: Shuffle the encounter discard pile into the encounter deck. Discard cards from the encounter deck until a card with the Ship trait is discarded, and add that card to the staging area.	Shadow: Exhaust a character you control.		2025-03-01 04:20:44
77cdcf74-7481-415d-a842-e9a12c810e4d	Run Aground!	77cdcf74-7481-415d-a842-e9a12c810e4d.jpg	encounter	Treachery	ALeP - The Siege of Gondor Nightmare	3	84865317-b076-400e-ac28-8e38cd43ac5b	11	The Siege of Gondor Nightmare		Nightmare		Peril.											When Revealed: Choose a non-unique enemy or side quest with the Ship trait in play. Deal 4 damage to it if it is an enemy, or place 4 progress on it if it is a side quest. Then, deal 4 damage among exhausted characters you control. If a card with the Ship trait leaves play this way, this card gains surge.			2025-02-24 00:44:58
