databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side
c8fc048c-819a-443f-ab69-44ef26e2b0eb	Children of Eorl Rules 1	c8fc048c-819a-443f-ab69-44ef26e2b0eb.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.2	Ambush at Erelas														Page 1/18	Welcome to Children of Eorl, an unofficial fan expansion, developed by A Long-extended Party (ALeP). This expansion explores the vast country of Rohan. Three original scenarios take the players on a journey from Anórien, through the Eastfold, to the town of Aldburg. Children of Eorl expansion includes 196 cards, consisting of:  • 9 Rules Cards • 126 Encounter Cards  • 4 Hero Cards • 8 Quest Cards  • 48 Player Cards • 1 Contract Card You can check for any updates from A Long-extended Party at www.alongextendedparty.com. You can build decks and track your plays of these scenarios and others online through RingsDB at www.ringsdb.com. For general rules and definitions of common game terms, visit the Quest Companion at bit.ly/2MKkak9.		
c8fc048c-819a-443f-ab69-44ef26e2b0eb	Children of Eorl Rules 1	c8fc048c-819a-443f-ab69-44ef26e2b0eb.B.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.2	Ambush at Erelas																	
f6d3edc2-850c-4c82-b4dd-7fac8237cdd5	Children of Eorl Rules 2	f6d3edc2-850c-4c82-b4dd-7fac8237cdd5.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.3	Ambush at Erelas														Page 2/18	The cards in the Children of Eorl expansion can be identified by this symbol before each card’s collector number. The devoted keyword appears on some player cards in this cycle. While each non-[baggins], non-[fellowship] hero you control shares at least one Trait with a card with the devoted keyword, that card does not require a resource match. The Trait that is shared does not need to be the same for each hero. For example, an ally with the devoted keyword and the Gondor and Scout traits may be played without a resource match if all of your heroes have the Gondor trait, all of your heroes have the Scout trait, or some of your heroes have the Gondor trait and the remainder have the Scout trait.		
f6d3edc2-850c-4c82-b4dd-7fac8237cdd5	Children of Eorl Rules 2	f6d3edc2-850c-4c82-b4dd-7fac8237cdd5.B.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.3	Ambush at Erelas																	
41e4b5d9-2959-4e77-ac3d-48022d8b4ba4	Ambush at Erelas 1	41e4b5d9-2959-4e77-ac3d-48022d8b4ba4.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.4	Ambush at Erelas														Page 3/18	The vast keyword appears on some locations in this cycle, and represents the large distances the players must travel when journeying from place to place within Rohan. Each location with the vast keyword is considered to be a “vast location”, with the following additional text: Travel: Each player must either exhaust a Mount attachment or a hero they control. and Response: After placing progress on this location from questing successfully (even if this location is explored), place an additional progress on any vast location for each Mount attachment the players control. Difficulty level = 5 The funeral in Lossarnach had been a somber affair. Within the confines of a family mausoleum, surrounded by kin and the vassals of her departed father, Morwen Steelsheen had not wept. She was a queen, stoic and tall, of the blood of Númenor. She remained by the tomb seven days and seven nights, a black gown and belt of white chrysanthemum her only adornments.		
41e4b5d9-2959-4e77-ac3d-48022d8b4ba4	Ambush at Erelas 1	41e4b5d9-2959-4e77-ac3d-48022d8b4ba4.B.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.4	Ambush at Erelas																	
dad84783-62b4-4aea-841e-90dadddd34cf	Ambush at Erelas 2	dad84783-62b4-4aea-841e-90dadddd34cf.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.5	Ambush at Erelas														Page 4/18	In the absence of her husband Thengel, King of Rohan, Morwen was guarded at all times by several companions – heroes, chosen from among the mighty and the wise as her honor guard. The last was a noble of Rohan, a man called Gálmód, who had been her close friend and advocate in court since her arrival many years ago. When her vigil had ended and the last of the mourners departed, only then did Morwen Steelsheen allow a pang of sadness to cross her face. Then she kissed the cold, white stone of her father’s sarcophagus, straightened herself, and emerged into the chill of an autumn morning. The honor guard followed close behind, joined by a column of Gálmód’s mounted Rohirrim. It was this band which ventured from the Vale of Flowers toward the borders of Rohan, where Morwen’s king – and kingdom – awaited. “You must be pleased to return home, my lady,” said one of the heroes. “Home,” said the queen. “I dare not linger on the thought. In my years I have dwelt on the shores of Belfalas and the green valleys of Lossarnach, yet now when I think of home I think only of the tapestries hanging in Meduseld. Of warm mead and kindly kin. Of Rohan, of the tribe of horse-lords which have so well		
dad84783-62b4-4aea-841e-90dadddd34cf	Ambush at Erelas 2	dad84783-62b4-4aea-841e-90dadddd34cf.B.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.5	Ambush at Erelas																	
d8ab2b1f-2469-44a6-a032-707ed7e6a35c	Ambush at Erelas 3	d8ab2b1f-2469-44a6-a032-707ed7e6a35c.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.6	Ambush at Erelas														Page 5/18	adopted me.” “Rohan has been a good home to many,” said Gálmód. “Though not to all.” A raven passed overhead, dark and silent as it disappeared into a plume of mist pouring from Mindolluin and the great White Mountains beyond. The group stayed an evening in the great city of Minas Tirith, where the aging steward feasted Morwen and her companions. In the morning they continued on, but they had not yet traveled a league before they were hailed by a lone rider on the road. “My queen,” said the rider, lowering his hood. “Thorongil,” said Morwen, embracing him. “Long has it been since you graced our halls at Edoras.” “I come with ill news,” he told her. “What have you seen, ranger?” asked Gálmód. “Orcs come down from the mountains?” “Aye, orcs and strange men.” “Phaw,” said Gálmód. “Foolish warnings from foolish wanderers. The queen has men enough to ward off mere ruffians.” “I thank you for the warning, master ranger.” Morwen		
d8ab2b1f-2469-44a6-a032-707ed7e6a35c	Ambush at Erelas 3	d8ab2b1f-2469-44a6-a032-707ed7e6a35c.B.jpg	multi_sided	Rules	ALeP - Children of Eorl	1	8a3273ca-1ccd-4e07-913b-766fcc49fe6f	0.6	Ambush at Erelas																	
