databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
2af83105-4ecb-4b64-93b8-41f455423c4f	Flight to Michel Delving Rules	2af83105-4ecb-4b64-93b8-41f455423c4f.jpg	multi_sided	Rules	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	0.2	Flight to Michel Delving															Scent attachments count as Condition attachments. Cards with Victory value go to the Victory Display after being explored, they don’t become scent attachments. When a character with any number of scent attachments leaves play, the attachments are discarded to the encounter discard pile.			2026-05-06 17:42:29
2af83105-4ecb-4b64-93b8-41f455423c4f	Flight to Michel Delving Rules	2af83105-4ecb-4b64-93b8-41f455423c4f.B.jpg	multi_sided	Rules	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	0.2	Flight to Michel Delving																		2026-05-06 17:42:29
2b024c07-9c83-48c7-8363-7fd7bb91b352	Flight to Michel Delving 1	2b024c07-9c83-48c7-8363-7fd7bb91b352.jpg	multi_sided	Rules	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	0.3	Flight to Michel Delving															Double-unique character A double-unique character is a character that has a title containing two unique symbols, like “[unique] Fili & [unique] Kili”. It is treated as a single character during deckbuilding and gameplay, but it poses a uniqueness conflict with both the individual titles “Fili” and “Kili”. Cards effects that target to one of the titles, like “Attach to Kili” can also target a double-unique character contatining that title.			2026-05-19 16:43:49
2b024c07-9c83-48c7-8363-7fd7bb91b352	Flight to Michel Delving 1	2b024c07-9c83-48c7-8363-7fd7bb91b352.B.jpg	multi_sided	Rules	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	0.3	Flight to Michel Delving																		2026-05-19 16:43:49
e4818952-7554-46e2-8e66-d56be9d26619	Thorin Oakenshield	e4818952-7554-46e2-8e66-d56be9d26619.jpg	player	Hero	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	1		1	Tactics	Dwarf. Noble. Warrior.		12			3	3	1	5				Unique Dwarf allies you play do not require a resource match, and they collect 1 resource each resource phase. Resources in a unique Dwarf ally’s pool can only be spent to play attachments on that ally. While playing or resolving the effects of an attachment played in this way, that ally is considered to have the hero card type.			2026-05-14 02:27:19
eee13c5c-d91b-41d5-b0db-1feecb7e0cc0	Dwalin	eee13c5c-d91b-41d5-b0db-1feecb7e0cc0.jpg	player	Hero	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	2		1	Tactics	Dwarf.		9			1	2	2	4				Response: When Dwalin would suffer damage, discard the top 2 cards of your deck. Either add 1 of those cards to your hand or cancel 1 point of that damage. (Limit once per phase.)			2026-06-11 10:41:46
17c49b8d-43ce-4e23-a4a4-33e11c8d22c9	Into the Fray	17c49b8d-43ce-4e23-a4a4-33e11c8d22c9.jpg	player	Event	ALeP - Flight to Michel Delving	3	8a550501-d9d2-4763-8022-683336979974	3			Tactics			1										Response: At the end of the planning phase, discard your hand and draw 3 cards.			2026-01-30 18:14:26
145eac86-f012-457e-9a39-584d554b913e	Dwarven Fiddle	145eac86-f012-457e-9a39-584d554b913e.jpg	player	Attachment	ALeP - Flight to Michel Delving	3	8a550501-d9d2-4763-8022-683336979974	4			Neutral	Item. Instrument.		2										Attach to a Dwarf or Minstrel character. Restricted. Action: Exhaust an Instrument attachment to shuffle your deck, then look at and rearrange the top 3 cards. Exhaust a second Instrument attachment to choose a Dwarf or Minstrel ally from those cards and add it to your hand.			2026-05-03 03:25:39
ae2c8dd9-bd18-4717-a480-052ba1fcb166	Book of Mazarbul	ae2c8dd9-bd18-4717-a480-052ba1fcb166.jpg	player	Attachment	ALeP - Flight to Michel Delving	3	8a550501-d9d2-4763-8022-683336979974	5		1	Tactics	Item. Record. Artifact.		1										Attach to a hero or Ori. Response: After a second enemy engages you during a phase, exhaust Book of Mazarbul to draw 1 card. Response: When you are eliminated from the game, discard up to 3 non-unique enemies engaged with you and attach Book of Mazarbul to a hero controlled by another player.			2026-06-16 22:13:53
33df70b9-71d6-40e2-8cc2-47259d3b13c6	Ori	33df70b9-71d6-40e2-8cc2-47259d3b13c6.jpg	player	Ally	ALeP - Flight to Michel Delving	3	8a550501-d9d2-4763-8022-683336979974	6		1	Tactics	Dwarf. Warrior.		2			1	1	1	2				Response: After you play Ori from your hand, search your deck for a Record attachment and add it to your hand. If you are engaged with an enemy, put it into play. Shuffle your deck.			2026-06-16 22:15:33
8569a449-bdeb-4a7f-ab35-d40c243160c0	Óin	8569a449-bdeb-4a7f-ab35-d40c243160c0.jpg	player	Ally	ALeP - Flight to Michel Delving	3	8a550501-d9d2-4763-8022-683336979974	7		1	Tactics	Dwarf. Warrior.		2			1	1	1	2				Response: Exhaust a Weapon or Armor attached to Óin to cancel 1 damage just dealt to a character you control.			2026-04-13 01:08:08
dd46c4a9-b056-4769-b38f-274440c90d11	Wealth of Thrór	dd46c4a9-b056-4769-b38f-274440c90d11.jpg	player	Attachment	ALeP - Flight to Michel Delving	3	8a550501-d9d2-4763-8022-683336979974	8		1	Tactics	Condition.		1										Attach to Thorin Oakenshield. Action: Discard 1 resource from a Dwarf character’s pool to give that character +1 [willpower], [attack], or [defense] until the end of the phase. (Limit twice per phase per character.)			2026-06-19 17:59:53
823bee58-4f43-4c2b-9266-27ab9d6f5d87	Dwarven Vigour	823bee58-4f43-4c2b-9266-27ab9d6f5d87.jpg	player	Attachment	ALeP - Flight to Michel Delving	3	8a550501-d9d2-4763-8022-683336979974	10			Tactics	Condition.		0										Attach to a Dwarf character. Response: Spend 1 resource and shuffle Dwarven Vigour into your deck to cancel up to 2 points of damage just dealt to the attached character. Response: When Dwarven Vigour is discarded from your deck, attach it to a Dwarf character.			2026-06-16 22:15:33
38b67965-5fb4-45f5-93f9-d5635cf65348	Mining Greedily	38b67965-5fb4-45f5-93f9-d5635cf65348.jpg	multi_sided	Player Objective	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	11		1														Setup: Each player that controls a Dwarf hero may raise their threat by 2 to opt in. If at least 3 players opt in, they each reduce their threat by 2.			2026-06-16 22:11:59
38b67965-5fb4-45f5-93f9-d5635cf65348	Mining Greedily	38b67965-5fb4-45f5-93f9-d5635cf65348.B.jpg	multi_sided	Player Objective	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	11		1														Each location gains the Underground trait. If you opted in, event cards cannot shuffle cards into your deck, and if you have no cards in your deck, you are eliminated. Forced: At the beginning of the planning phase, each opted-in player discards the top 3 cards of their deck and may spend 1 resource to add one of those cards to their hand.			2026-06-16 22:11:59
93a8f65d-ff49-47a8-a25d-ae425a909865	Being Tracked	93a8f65d-ff49-47a8-a25d-ae425a909865.jpg	multi_sided	Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	12	Flight to Michel Delving					1										Setup: Make Deephallow the active location. The first player adds On Our Heels and a copy of Ruffian Hunting Party to the staging area. Each other player searches the encounter deck for an enemy and adds it into play. Shuffle the 5 Shire locations and 8[pp] encounter cards together to form the encounter deck. Set the remaining encounter cards aside. Each player attaches the top card of the encounter deck facedown to a character they control as a scent attachment.		A	2026-04-20 22:00:02
93a8f65d-ff49-47a8-a25d-ae425a909865	Being Tracked	93a8f65d-ff49-47a8-a25d-ae425a909865.B.jpg	multi_sided	Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	12	Flight to Michel Delving					1							10			Forced: After an enemy or a location leaves play, attach that card facedown as a Scent attachment to a character with the fewest Scent attachments. Forced: If the encounter deck and encounter discard pile are both empty, the players lose the game.		B	2026-04-20 22:00:02
3f773b25-d822-429b-bb70-0affe4ffad5a	Sudden Downpour	3f773b25-d822-429b-bb70-0affe4ffad5a.jpg	encounter	Side Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	13	Flight to Michel Delving			Weather.									4	1		When Revealed: Discard one Scent attachment from each hero in play. Search the encounter deck and discard pile for a copy of Muddy Road and put it into play. Place 1 progress on each copy of Muddy Road in play. If no location enters play this way, this card gains surge. Locations cannot be explored while in the staging area.			2025-04-13 10:46:03
0805ddd7-8c10-4740-ade6-00c996522be6	Lose the Pursuers	0805ddd7-8c10-4740-ade6-00c996522be6.jpg	multi_sided	Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	14	Flight to Michel Delving					2										When Revealed: Each player attaches a scent card to a character they control.		A	2026-06-11 11:28:40
0805ddd7-8c10-4740-ade6-00c996522be6	Lose the Pursuers	0805ddd7-8c10-4740-ade6-00c996522be6.B.jpg	multi_sided	Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	14	Flight to Michel Delving					2							-			Forced: After an enemy or a location leaves play, attach that card facedown as a Scent attachment to a character with the fewest Scent attachments. Forced: If the encounter deck and encounter discard pile are both empty, the players lose the game. Refresh Action: If this stage has at least 5[pp] progress, each player can discard any number of their characters. If those characters had more than half ot the total scent attachments in play, advance to stage 3A. Otherwise, advance to stage 4A.		B	2026-06-11 11:28:40
031b8c51-9083-4faa-9f76-f0c9bf1d1a20	Race to the Finish Line	031b8c51-9083-4faa-9f76-f0c9bf1d1a20.jpg	multi_sided	Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	15	Flight to Michel Delving					3										When Revealed: Remove On Our Heels from play. Shuffle the encounter discard pile into the encounter deck.		A	2026-06-11 11:28:40
031b8c51-9083-4faa-9f76-f0c9bf1d1a20	Race to the Finish Line	031b8c51-9083-4faa-9f76-f0c9bf1d1a20.B.jpg	multi_sided	Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	15	Flight to Michel Delving					3							14			Forced: At the beginning of the round, each player attaches the top card of the encounter deck to a character with the fewest scent attachments in play as a facedown Scent Attachment. Forced: If a scent card would be discarded, remove it from the game instead. Forced: If the encounter deck and encounter discard pile are both empty, the players lose the game. If the players defeat this stage, they have won the game.		B	2026-06-11 11:28:40
deeb9454-169e-4581-abd6-f81c70005900	Face the Pursuers	deeb9454-169e-4581-abd6-f81c70005900.jpg	multi_sided	Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	16	Flight to Michel Delving					4										When Revealed: If On Our Heels is in play, flip it. Shuffle the encounter discard pile into the encounter deck.		A	2026-06-11 11:28:40
deeb9454-169e-4581-abd6-f81c70005900	Face the Pursuers	deeb9454-169e-4581-abd6-f81c70005900.B.jpg	multi_sided	Quest	ALeP - Flight to Michel Delving	1	8a550501-d9d2-4763-8022-683336979974	16	Flight to Michel Delving					4							4			Forced: At the beginning of the round, each player attaches the top card of the encounter deck to a character with the fewest scent attachments in play as a facedown Scent Attachment. Forced: If a scent card would be discarded, remove it from the game instead. Forced: If the encounter deck and encounter discard pile are both empty, the players lose the game. If the players defeat this stage and Gaur the Burned is not in play, they have won the game.		B	2026-06-11 11:28:40
f55562d5-e820-417c-854a-3a2fc8c36f56	Hunting Dogs	f55562d5-e820-417c-854a-3a2fc8c36f56.jpg	encounter	Enemy	ALeP - Flight to Michel Delving	4	8a550501-d9d2-4763-8022-683336979974	17	Flight to Michel Delving			Creature.			30	2		2	2	2				Forced: After a character defends an attack made by Hunting Dogs, attach the top card of the encounter deck to that character facedown as a scent attachment.	Shadow: Attacking enemy gets +1 [attack] (+2 [attack] instead if the defender has any Scent attachments).		2026-03-28 11:03:47
