databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side
a2284275-6007-4a63-b2dd-db2ba9456f84	Fangs in the Dark Rules	a2284275-6007-4a63-b2dd-db2ba9456f84.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.2	Fangs in the Dark														Page 1/8	Welcome to Fangs in the Dark, an unofficial fan Adventure Pack, developed by A Long-extended Party (ALeP). Follow the tracks of Orc-eyes while avoiding being devoured by wolves in the second adventure pack of the Fell Summer cycle. Component Overview The Fangs in the Dark Adventure Pack includes 70 cards, consisting of:  • 4 Rules Cards • 35 Encounter Cards  • 2 Hero Cards • 3 Quest Cards  • 25 Player Cards • 1 Player Objective Card Web Resources You can check for any updates from A Long-extended Party at www.alongextendedparty.com. You can build decks and track your plays of these scenarios and others online through RingsDB at www.ringsdb.com. For general rules and definitions of common game terms, visit the Quest Companion at bit.ly/2MKkak9.		
a2284275-6007-4a63-b2dd-db2ba9456f84	Fangs in the Dark Rules	a2284275-6007-4a63-b2dd-db2ba9456f84.B.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.2	Fangs in the Dark																	
269bc4d0-6f8b-4df7-bd35-6d3347a1c800	Fangs in the Dark 1	269bc4d0-6f8b-4df7-bd35-6d3347a1c800.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.3	Fangs in the Dark														Page 2/8	Expansion Symbol The cards in the Fell Summer cycle can be identified by this symbol before each card’s collector number. Rules & New Terms The Bree-landers Deck When setting up Fangs in the Dark, the players are instructed to “create the Bree-landers deck”, which represents the heroes’ newfound ally Wolfsbane Jack and those friends he calls upon for aid. The Bree-landers deck is built using the cards in the Bree-landers encounter set, indicated by the icon below. To create the Bree-landers deck, place Wolfsbane Jack and the Bree-landers objective in a separate play area and shuffle the remaining cards from the Bree-landers set into a separate deck. This is the Bree-landers deck. When a card from the Bree-landers deck leaves play, it is removed from the game. If the Bree-landers deck runs out of cards, ignore any effects that refer to the Bree-landers deck.		
269bc4d0-6f8b-4df7-bd35-6d3347a1c800	Fangs in the Dark 1	269bc4d0-6f8b-4df7-bd35-6d3347a1c800.B.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.3	Fangs in the Dark																	
6ebbbddb-2f84-47c4-b767-7dfcf1147ad6	Fangs in the Dark 2	6ebbbddb-2f84-47c4-b767-7dfcf1147ad6.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.4	Fangs in the Dark														Page 3/8	The Bree-landers deck counts as an additional player (referred to as “the Bree-landers player”) to a maximum of 5 players. Like any player, it contributes to the number of encounter cards revealed during the staging step and has its own play area. The Bree-landers player can be placed anywhere in the turn order during setup, but it cannot be chosen as or become the first player. When an effect would make it the first player, the first player token instead passes to the next player in turn order. Wolfsbane Jack and cards from the Bree-landers deck are considered to be player cards. Cards revealed from the Bree-landers deck are added to the Bree-landers play area and the Bree-landers player takes control of them. The first player makes all decisions that would normally be made by the Bree-landers player, including optionally engaging enemies as well as activating Actions and Responses. The Bree-landers player’s threat and threat elimination level are always considered to be equal to those of the first player. Any card effect that would increase the Bree-landers player’s threat is ignored. Bree-landers in Other Scenarios You can also try using the Bree-landers in place of a normal player when playing other scenarios, with a maximum of 4 players, including the Bree-landers player.		
6ebbbddb-2f84-47c4-b767-7dfcf1147ad6	Fangs in the Dark 2	6ebbbddb-2f84-47c4-b767-7dfcf1147ad6.B.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.4	Fangs in the Dark																	
fb348c06-f568-4a28-b87a-2172e8a32254	Fangs in the Dark 3	fb348c06-f568-4a28-b87a-2172e8a32254.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.5	Fangs in the Dark														Page 4/8	To do so, simply create the Bree-landers deck and add Wolfsbane Jack and the Bree-landers objective to the Bree-landers play area during the scenario setup, at the moment when you put the starting heroes in play. This is an unsupported play variant; some unintended rule conflicts may arise when playing in this way, and some ad hoc rulings might be required. We will propose a list of generic suggestions in this regard on our website. Previous Player The term “previous player” always refers to the previous counterclockwise player (from the current active player, or from the player who most recently performed a game function or passed) according to the player order. In a single-player game, there is no previous player, and card effects that target the previous player will not trigger. Fangs in the Dark Difficulty level = 7 Wolfsbane Jack was waiting for the heroes as they arrived at Bree’s West Gate, a blanket of stars spreading across the sky. His garments were simple, but well made, and lined with wolf-fur of various colors. His face was hard and worn from years spent in the wilderness, but despite his grim expression a quiet light of gentle kindness still flickered in his eyes.		
fb348c06-f568-4a28-b87a-2172e8a32254	Fangs in the Dark 3	fb348c06-f568-4a28-b87a-2172e8a32254.B.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.5	Fangs in the Dark																	
6ff25100-4325-41bf-be2d-5e7f6e4990a5	Fangs in the Dark 4	6ff25100-4325-41bf-be2d-5e7f6e4990a5.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.6	Fangs in the Dark														Page 5/8	“Come,” he said, “we have far to travel along the Great East Road, if my guess is right.” The heroes exchanged uncertain glances. “Towards the Shire? We just came from there. Why do we return?” one asked. The hunter stroked his thick beard as he led the way. “The uprising we quelled in Bree today was the work of a cult called the Children of Gaur. I have tracked their movements for many months, watching their work take shape. They worship an ancient wolf-god, believing his return is nigh and that he will bestow power upon those who serve him.” One of the heroes scoffed. Jack nodded in agreement. “I put no faith in such tales. But evil done in the name of a false god is evil done nonetheless.” “To answer your question,” he continued, “from watching their comings and goings, I believe they have a hidden refuge somewhere near the Shire. You may have noticed more Men among those lands of late; they search for something. We must find their hiding place and uncover their aims.” “Ah,” said one of the heroes, putting it all together, “And their escaped lieutenant, Orc-eyes, will lead us to them! But how will we track him across such a well-worn path?”		
6ff25100-4325-41bf-be2d-5e7f6e4990a5	Fangs in the Dark 4	6ff25100-4325-41bf-be2d-5e7f6e4990a5.B.jpg	multi_sided	Rules	ALeP - Fangs in the Dark	1	94e8ffe1-a17d-4d8a-ab89-adecd5da6088	0.6	Fangs in the Dark																	
