databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
57c77343-b722-40b8-a5a1-b53f53e3c3eb	Children of Eorl Rules 2	57c77343-b722-40b8-a5a1-b53f53e3c3eb.jpg	multi_sided	Rules	ALeP - Errata Pack	1	9d1d76e5-8d73-461f-97e0-9414d4224334	1	Ambush at Erelas														Page 2/18	Expansion Symbol The cards in the Children of Eorl expansion can be identified by this symbol before each card’s collector number. Devoted The devoted keyword appears on some player cards in this cycle. While each non-[baggins], non-[fellowship] hero you control shares at least one Trait with a card with the devoted keyword, that card does not require a resource match. The Trait that is shared does not need to be the same for each hero. For example, an ally with the devoted keyword and the Gondor and Scout traits may be played without a resource match if all of your heroes have the Gondor trait, all of your heroes have the Scout trait, or some of your heroes have the Gondor trait and the remainder have the Scout trait.			2025-05-13 07:45:41
57c77343-b722-40b8-a5a1-b53f53e3c3eb	Children of Eorl Rules 2	57c77343-b722-40b8-a5a1-b53f53e3c3eb.B.jpg	multi_sided	Rules	ALeP - Errata Pack	1	9d1d76e5-8d73-461f-97e0-9414d4224334	1	Ambush at Erelas																		2025-05-13 07:45:41
8f505edb-7a1a-4e83-a8a5-f78a3d1142da	Loot Piles and Looter X	8f505edb-7a1a-4e83-a8a5-f78a3d1142da.jpg	multi_sided	Rules	ALeP - Errata Pack	1	9d1d76e5-8d73-461f-97e0-9414d4224334	2	Ambush at Erelas														Page 8/18	Loot Piles “Ambush at Erelas” sees the players set upon by brigands looting their valuable supplies and resources. Some cards and abilities refer to an enemy’s or objective’s loot pile. A loot pile is a faceup pile of player cards placed next to that enemy or objective. Cards in a loot pile are not in play and are under no player’s control. Cards in a loot pile are considered blank, except for their cost, sphere, and card type. Note that an enemy or objective with 0 cards in its loot pile still has a loot pile. Looter X Looter is a new keyword that appears on enemies in this quest. After you engage an enemy with the looter keyword, place a random card from your hand and the top X cards of your deck into that enemy’s loot pile. This is done every time an enemy with the looter keyword engages a player, even if there are already cards in that enemy’s loot pile.			2025-05-13 07:45:41
8f505edb-7a1a-4e83-a8a5-f78a3d1142da	Loot Piles and Looter X	8f505edb-7a1a-4e83-a8a5-f78a3d1142da.B.jpg	multi_sided	Rules	ALeP - Errata Pack	1	9d1d76e5-8d73-461f-97e0-9414d4224334	2	Ambush at Erelas																		2025-05-13 07:45:41
7d77efca-9ce3-4e96-86d2-840f092c143f	Wild Country	7d77efca-9ce3-4e96-86d2-840f092c143f.jpg	encounter	Location	ALeP - Errata Pack	2	9d1d76e5-8d73-461f-97e0-9414d4224334	3	Rohan Lands			Plains.	Doomed 1. Vast.			1					6			Forced: At the end of the travel phase, if there is no vast active location, each player deals 1 damage to a character they control.	Shadow: If the active location is vast, deal 1 damage to the defending character.		2025-05-13 07:45:41
8ded8c59-91d4-4754-8489-56e7642888d3	Endless Grasslands	8ded8c59-91d4-4754-8489-56e7642888d3.jpg	encounter	Location	ALeP - Errata Pack	2	9d1d76e5-8d73-461f-97e0-9414d4224334	4	Rohan Lands			Plains.	Vast.			2					6			Forced: At the end of the travel phase, if there is no vast active location, each player exhausts an ally they control.	Shadow: If the active location is vast, the attacking enemy makes an additional attack after this one.		2025-05-13 07:45:41
478fe169-c4ac-46ef-ac36-72a4bb18f56c	Windworn Villages	478fe169-c4ac-46ef-ac36-72a4bb18f56c.jpg	encounter	Location	ALeP - Errata Pack	2	9d1d76e5-8d73-461f-97e0-9414d4224334	5	Rohan Lands			Plains. Village.	Vast.			3					6			Forced: At the end of the travel phase, if there is no vast active location, each player chooses and discards 1 card from their hand.	Shadow: If the active location is vast, discard 1 attachment from the defending character.		2025-05-13 07:45:41
d5341a01-2eca-42d9-8347-c0e5cbb2157c	Humpbacked Downs	d5341a01-2eca-42d9-8347-c0e5cbb2157c.jpg	encounter	Location	ALeP - Errata Pack	2	9d1d76e5-8d73-461f-97e0-9414d4224334	6	Rohan Lands			Plains.	Vast.			2					6			Forced: At the end of the travel phase, if there is no vast active location, each player raises their threat by 1.	Shadow: If the active location is vast, raise your threat by 2.		2025-05-13 07:45:41
ddb0d36d-4d32-4bb0-a74f-0cb8ea661082	Lily Cotton	ddb0d36d-4d32-4bb0-a74f-0cb8ea661082.jpg	player	Ally	ALeP - Errata Pack	3	9d1d76e5-8d73-461f-97e0-9414d4224334	7		1	Leadership	Hobbit.		2			1	1	1	2				Action: Exhaust Lily Cotton to ready a different Hobbit ally and add Lily Cotton’s [willpower], [attack], and [defense] to that ally’s [willpower], [attack], and [defense] respectively until the end of the phase. At the end of the phase, if that ally is still in play, return it to its owner’s hand. (Limit once per phase.)			2025-05-13 07:45:41
0747fb74-9374-4d9a-b2a0-085a60a9d321	Gavin	0747fb74-9374-4d9a-b2a0-085a60a9d321.jpg	player	Ally	ALeP - Errata Pack	3	9d1d76e5-8d73-461f-97e0-9414d4224334	8		1	Spirit	Creature. Scout.		2			1	1	0	1				Cannot have attachments. Response: After an encounter card without surge is revealed, exhaust Gavin to give that card surge and add 1 resource to the pool of a Scout hero you control. If the next encounter card revealed is not a location, discard it without resolving its effects.			2025-05-13 07:45:41
