databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side	modifiedTimeUtc
cb3056f3-5c8d-483f-9958-764f99a2b907	Mount Doom	cb3056f3-5c8d-483f-9958-764f99a2b907.jpg	multi_sided	Nightmare	ALeP - Mount Doom Nightmare	1	9f73b7b7-5075-4177-80ff-419bd046072c	1	Mount Doom Nightmare															You are playing Nightmare mode.			2025-02-22 21:13:48
cb3056f3-5c8d-483f-9958-764f99a2b907	Mount Doom	cb3056f3-5c8d-483f-9958-764f99a2b907.B.jpg	multi_sided	Nightmare	ALeP - Mount Doom Nightmare	1	9f73b7b7-5075-4177-80ff-419bd046072c	1	Mount Doom Nightmare															Begin with the standard quest deck and encounter deck for the Mount Doom scenario. Remove the following cards, in the specified quantities, from the standard encounter deck: 1x Something 2x Something Else Then, shuffle the encounter cards in this Nightmare Deck into the remainder of the standard Mount Doom encounter deck. Finally, flip this setup card over and place it next to the quest deck. Its effect remains active throughout the game, which is now ready to begin.			2025-02-22 21:13:48
59974627-2bb3-4798-b066-c069640503a9	Isenmouthe Lookout	59974627-2bb3-4798-b066-c069640503a9.jpg	encounter	Enemy	ALeP - Mount Doom Nightmare	2	9f73b7b7-5075-4177-80ff-419bd046072c	2	Mount Doom Nightmare		Nightmare	Orc.			77	4		3	2	3				Cannot be optionally engaged. Forced: After a player fails a fortitude test, raise their threat by 1.	Shadow: Attacking enemy gets +1 [attack]. (+2 [attack] instead if you failed a fortitude test this round.)		2025-02-22 21:13:48
bde9945c-0733-4026-b4f9-3c4f59a64e6b	Soldier from Durthang	bde9945c-0733-4026-b4f9-3c4f59a64e6b.jpg	encounter	Enemy	ALeP - Mount Doom Nightmare	3	9f73b7b7-5075-4177-80ff-419bd046072c	3	Mount Doom Nightmare		Nightmare	Orc. Goblin.			22	2		4	3	4				Forced: At the end of the round, raise the engaged player’s threat by 4.	Shadow: Raise your threat by 1 for each enemy engaged with you.		2025-02-22 21:13:48
02f0a093-60fd-4b4b-b3d2-107b6d93a183	Barad-dûr Heavy	02f0a093-60fd-4b4b-b3d2-107b6d93a183.jpg	encounter	Enemy	ALeP - Mount Doom Nightmare	2	9f73b7b7-5075-4177-80ff-419bd046072c	4	Mount Doom Nightmare		Nightmare	Orc. Uruk.			66	3		5	4	5				Forced: When Barad-dûr Heavy attacks, exhaust a hero you control.	Shadow: Exhaust a hero you control.		2025-02-22 21:13:48
a1960af5-cf7a-4afa-bcde-2e501e29c567	Glens of the Morgai	a1960af5-cf7a-4afa-bcde-2e501e29c567.jpg	encounter	Location	ALeP - Mount Doom Nightmare	3	9f73b7b7-5075-4177-80ff-419bd046072c	5	Mount Doom Nightmare		Nightmare	Mordor.				2					4			While Glens of the Morgai is in the staging area, other locations get +1 quest point. Travel: The first player makes a fortitude test. If they fail this test, exhaust each hero they control.			2025-02-22 21:13:48
70ab5c3a-0f4e-4823-ad79-5e56dcbefd2c	Gaping Fissure	70ab5c3a-0f4e-4823-ad79-5e56dcbefd2c.jpg	encounter	Location	ALeP - Mount Doom Nightmare	2	9f73b7b7-5075-4177-80ff-419bd046072c	6	Mount Doom Nightmare		Nightmare	Mordor.				3					6			While Gaping Fissure is in the staging area, players must commit at least 2 characters to fortitude tests if they commit any characters at all. Travel: Discard 1 resource or attachment from each hero.	Shadow: Discard a non-objective attachment you control.		2025-02-22 21:38:45
4477cae8-d7e4-4629-95c8-052eb8a4b625	Watch-fire	4477cae8-d7e4-4629-95c8-052eb8a4b625.jpg	encounter	Location	ALeP - Mount Doom Nightmare	2	9f73b7b7-5075-4177-80ff-419bd046072c	7	Mount Doom Nightmare		Nightmare	Mordor.				2					5			While Watch-fire is in the staging area, enemies get –11 engagement cost. Travel: Raise each player’s threat by 4.			2025-02-22 21:13:48
b73808fb-41a6-4b42-82ca-3b9630175869	Dark Creeping Shapes	b73808fb-41a6-4b42-82ca-3b9630175869.jpg	encounter	Treachery	ALeP - Mount Doom Nightmare	2	9f73b7b7-5075-4177-80ff-419bd046072c	8	Mount Doom Nightmare		Nightmare		Doomed 2. Peril.											When Revealed: If there are no enemies in the discard pile, discard cards from the encounter deck until an enemy is discarded. Make a fortitude test. If you fail this test, reveal the enemy in the discard pile with the highest engagement cost. If you succeed, shuffle it into the encounter deck instead.			2025-02-22 21:13:48
d96cbf6f-0f35-4dd2-b335-3d4b02b6834b	Clouds of Hungry Midges	d96cbf6f-0f35-4dd2-b335-3d4b02b6834b.jpg	encounter	Treachery	ALeP - Mount Doom Nightmare	2	9f73b7b7-5075-4177-80ff-419bd046072c	9	Mount Doom Nightmare		Nightmare		Peril.											When Revealed: Make a fortitude test. If you fail this test, deal X damage among characters you control, where X is the tens digit of your threat.	Shadow: Deal 1 damage to the defending character.		2025-02-22 21:13:48
91defa12-b96e-4afe-928f-88f8645ccf96	Last Drop of Water	91defa12-b96e-4afe-928f-88f8645ccf96.jpg	encounter	Treachery	ALeP - Mount Doom Nightmare	1	9f73b7b7-5075-4177-80ff-419bd046072c	10	Mount Doom Nightmare		Nightmare													When Revealed: Each player makes a fortitude test. Deal 1 damage to each hero committed to this test. Each player who fails this test discards 1 character they control.	Shadow: Exhaust a character you control.		2025-02-22 21:13:48
