databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side
b0d6c658-9687-45db-a7aa-daa84045af1e	The Scouring of the Shire Rules 1	b0d6c658-9687-45db-a7aa-daa84045af1e.jpg	multi_sided	Rules	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	0.2	The Scouring of the Shire														Page 1/2	Welcome to The Scouring of the Shire, an unofficial fan Saga Expansion, developed by A Long-extended Party (ALeP). Component Overview The Scouring of the Shire Saga Expansion includes 69 cards, consisting of:  • 1 Rules Card • 56 Encounter Cards  • 1 Hero Card • 5 Quest Cards  • 4 Boon Cards • 1 Campaign Card  • 1 Contract Card Expansion Symbol The cards in The Scouring of the Shire Saga Expansion can be identified by this symbol before each card’s collector number. Sharkey Deck The Sharkey deck is a separate deck that represents the dangerous powers of Sharkey. To create the Sharkey deck, take each treachery card with the Sharkey trait from the encounter deck and shuffle them together. This is the Sharkey deck.		
b0d6c658-9687-45db-a7aa-daa84045af1e	The Scouring of the Shire Rules 1	b0d6c658-9687-45db-a7aa-daa84045af1e.B.jpg	multi_sided	Rules	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	0.2	The Scouring of the Shire																	
81c459d2-c910-4910-8e88-ef82e396fd28	The Scouring of the Shire Rules 2	81c459d2-c910-4910-8e88-ef82e396fd28.jpg	multi_sided	Rules	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	0.3	The Scouring of the Shire														Page 2/2	Special Saga Rules When playing The Scouring of the Shire, follow the “New Staging Rules” found on page 3 of The Black Riders Saga expansion rulebook. When setting up The Scouring of the Shire, the first player takes control of the [fellowship] Frodo Baggins included in this expansion. This version of [fellowship] Frodo Baggins can only be used while playing The Scouring of the Shire and cannot be used in any other quests. Players cannot use any other version(s) of Frodo Baggins or cards with the title “Saruman” when playing this quest. Campaign Mode New campaign and boon cards are included in The Scouring of the Shire. These cards allow the players to play The Scouring of the Shire as part of The Lord of the Rings campaign. It should be played after Mount Doom, from The Mountain of Fire Saga Expansion. The complete rules for campaign mode can be found in The Black Riders Saga Expansion, which is required to play campaign mode. Campaign Rewards The Scouring of the Shire includes 1 contract card, Into the West, which cannot be used until the players have earned it while playing campaign mode. Once earned, this card may be used by the players who earned it when playing any quest (not just Saga quests).		
81c459d2-c910-4910-8e88-ef82e396fd28	The Scouring of the Shire Rules 2	81c459d2-c910-4910-8e88-ef82e396fd28.B.jpg	multi_sided	Rules	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	0.3	The Scouring of the Shire																	
247bb211-bf15-4627-99e8-914a8f1ca1bf	Frodo Baggins	247bb211-bf15-4627-99e8-914a8f1ca1bf.jpg	player	Hero	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	0.4		1	Leadership	Hobbit.		7			2	1	2	2				Response: After Frodo Baggins commits to the quest, spend 1 resource from his resource pool to ready another unique character committed to the quest. If you quest successfully this phase, reduce your threat by 1.		
1082cffb-80b2-465c-aa6a-db97892cefd6	Many Partings	1082cffb-80b2-465c-aa6a-db97892cefd6.jpg	multi_sided	Quest	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	1	The Scouring of the Shire					1										Setup: Create the Sharkey deck (see insert). Set Saruman, Brandywine Gate, Three-farthing Stone, and each encounter side quest aside, out of play. Shuffle the encounter deck.		A
1082cffb-80b2-465c-aa6a-db97892cefd6	Many Partings	1082cffb-80b2-465c-aa6a-db97892cefd6.B.jpg	multi_sided	Quest	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	1	The Scouring of the Shire					1							-			Action: Exhaust a non-[fellowship] hero and discard a resource token from its pool. Then, add 2 resource tokens to the set-aside Saruman. At the end of the planning phase, advance to the next quest stage.		B
14526e30-93de-43a6-8d4e-549c5e36a559	Escorted “Prisoners”	14526e30-93de-43a6-8d4e-549c5e36a559.jpg	multi_sided	Quest	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	2	The Scouring of the Shire					2										When Revealed: Make Brandywine Gate the active location and add Three-farthing Stone to the staging area.		A
14526e30-93de-43a6-8d4e-549c5e36a559	Escorted “Prisoners”	14526e30-93de-43a6-8d4e-549c5e36a559.B.jpg	multi_sided	Quest	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	2	The Scouring of the Shire					2							12			This stage cannot have more than 12 progress tokens on it. Forced: At the end of the quest phase, if no progress was placed here as a result of questing successfully, the first player raises their threat by 3. If more than 3 progress was placed, each player engaged with 2 or more Shirriff enemies may discard 1 of them. The players cannot advance while Three-farthing Stone is in play.		B
26688789-8f0f-4d50-9317-2d3f290dadd8	Raise the Shire	26688789-8f0f-4d50-9317-2d3f290dadd8.jpg	multi_sided	Quest	ALeP - The Scouring of the Shire	1	be2d1577-aa7b-44f5-b7ca-fd45bcf75c78	3	The Scouring of the Shire					3										When Revealed: Randomly select 3 of the set-aside non-Doom side quests and put them into play (4 side quests instead if there are 3 or 4 players).		A
