databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	side	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	tags
51223bd0-ffd1-11df-a976-0801200c9001	Aragorn	51223bd0-ffd1-11df-a976-0801200c9001.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	1		1	Leadership	Dunedain. Noble. Ranger.	Sentinel.	12				2	3	2	5						
51223bd0-ffd1-11df-a976-0801200c9002	Théodred	51223bd0-ffd1-11df-a976-0801200c9002.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	2		1	Leadership	Noble. Rohan. Warrior.		8				1	2	1	4				Response: After Theodred commits to a quest, choose a hero committed to that quest. Add 1 resource to that hero's resource pool.		
51223bd0-ffd1-11df-a976-0801200c9003	Glóin	51223bd0-ffd1-11df-a976-0801200c9003.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	3		1	Leadership	Dwarf. Noble.		9				2	2	1	4				Response: After Gloin suffers damage, add 1 resource to his resource pool for each point of damage he just suffered.		
51223bd0-ffd1-11df-a976-0801200c9004	Gimli	51223bd0-ffd1-11df-a976-0801200c9004.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	4		1	Tactics	Dwarf. Noble. Warrior.		11				2	2	2	5				Gimli gets +1 [attack] for each damage token on him.		
51223bd0-ffd1-11df-a976-0801200c9005	Legolas	51223bd0-ffd1-11df-a976-0801200c9005.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	5		1	Tactics	Noble. Silvan. Warrior.	Ranged.	9				1	3	1	4				Response: After Legolas participates in an attack that destroys an enemy, place 2 progress tokens on the current quest.		
51223bd0-ffd1-11df-a976-0801200c9006	Thalin	51223bd0-ffd1-11df-a976-0801200c9006.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	6		1	Tactics	Dwarf. Warrior.		9				1	2	2	4				While Thalin is committed to a quest, deal 1 damage to each enemy as it is revealed by the encounter deck.		
51223bd0-ffd1-11df-a976-0801200c9007	Éowyn	51223bd0-ffd1-11df-a976-0801200c9007.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	7		1	Spirit	Noble. Rohan.		9				4	1	1	3				Action: Discard 1 card from your hand to give Éowyn +1 [willpower] until the end of the phase. This effect may be triggered by each player once each round.		
51223bd0-ffd1-11df-a976-0801200c9008	Eleanor	51223bd0-ffd1-11df-a976-0801200c9008.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	8		1	Spirit	Gondor. Noble.		7				1	1	2	3				Response: Exhaust Eleanor to cancel the "when revealed" effects of a treachery card just revealed by the encounter deck. Then, discard that card, and replace it with the next card from the encounter deck.		
51223bd0-ffd1-11df-a976-0801200c9009	Dunhere	51223bd0-ffd1-11df-a976-0801200c9009.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	9		1	Spirit	Rohan. Warrior.		8				1	2	1	4				Dunhere can target enemies in the staging area when he attacks alone. When doing so, he gets +1 [attack].		
51223bd0-ffd1-11df-a976-0801200c9010	Denethor	51223bd0-ffd1-11df-a976-0801200c9010.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	10		1	Lore	Gondor. Noble. Steward.		8				1	1	3	3				Action: Exhaust Denethor to look at the top card of the encounter deck. You may move that card to the bottom of the deck.		
51223bd0-ffd1-11df-a976-0801200c9011	Glorfindel	51223bd0-ffd1-11df-a976-0801200c9011.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	11		1	Lore	Noble. Noldor. Warrior.		12				3	3	1	5				Action: Pay 1 resource from Glorfindel's pool to heal 1 damage on any character. (Limit once per round.)		
51223bd0-ffd1-11df-a976-0801200c9012	Beravor	51223bd0-ffd1-11df-a976-0801200c9012.jpg	player	Hero	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	12		1	Lore	Dunedain. Ranger.		10				2	2	2	4				Action: Exhaust Beravor to choose a player. That player draws 2 cards. Limit once per round.		
51223bd0-ffd1-11df-a976-0801200c9013	Guard of the Citadel	51223bd0-ffd1-11df-a976-0801200c9013.jpg	player	Ally	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	13			Leadership	Gondor. Warrior.		2				1	1	0	2						
51223bd0-ffd1-11df-a976-0801200c9014	Faramir	51223bd0-ffd1-11df-a976-0801200c9014.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	14		1	Leadership	Gondor. Noble. Ranger.		4				2	1	2	3				Action: Exhaust Faramir to choose a player. Each character controlled by that player gets +1 [willpower] until the end of the phase.		
51223bd0-ffd1-11df-a976-0801200c9015	Son of Arnor	51223bd0-ffd1-11df-a976-0801200c9015.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	15			Leadership	Dunedain.		3				0	2	0	2				Response: After Son of Arnor enters play, choose an enemy card in the staging area or currently engaged with another player. Engage that enemy.		
51223bd0-ffd1-11df-a976-0801200c9016	Snowbourn Scout	51223bd0-ffd1-11df-a976-0801200c9016.jpg	player	Ally	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	16			Leadership	Rohan. Scout.		1				0	0	1	1				Response: After Snowbourn Scout enters play, choose a location. Place 1 progress token on that location.		
51223bd0-ffd1-11df-a976-0801200c9017	Silverlode Archer	51223bd0-ffd1-11df-a976-0801200c9017.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	17			Leadership	Archer. Silvan.	Ranged.	3				1	2	0	1						
51223bd0-ffd1-11df-a976-0801200c9018	Longbeard Orc Slayer	51223bd0-ffd1-11df-a976-0801200c9018.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	18			Leadership	Dwarf. Warrior.		4				0	2	1	3				Response: After Longbeard Orc Slayer enters play, deal 1 damage to each Orc enemy in play.		
51223bd0-ffd1-11df-a976-0801200c9019	Brok Ironfist	51223bd0-ffd1-11df-a976-0801200c9019.jpg	player	Ally	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	19		1	Leadership	Dwarf. Warrior.		6				2	2	1	4				Response: After a Dwarf hero you control leaves play, put Brok Ironfist into play from your hand.		
51223bd0-ffd1-11df-a976-0801200c9020	Ever Vigilant	51223bd0-ffd1-11df-a976-0801200c9020.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	20			Leadership			1											Action: Choose and ready 1 ally card.		
51223bd0-ffd1-11df-a976-0801200c9021	Common Cause	51223bd0-ffd1-11df-a976-0801200c9021.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	21			Leadership			0											Action: Exhaust 1 hero you control to choose and ready a different hero.		
51223bd0-ffd1-11df-a976-0801200c9022	For Gondor!	51223bd0-ffd1-11df-a976-0801200c9022.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	22			Leadership			2											Action: Until the end of the phase, all characters get +1 [attack]. All Gondor characters also get +1 [defense] until the end of the phase.		
51223bd0-ffd1-11df-a976-0801200c9023	Sneak Attack	51223bd0-ffd1-11df-a976-0801200c9023.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	23			Leadership			1											Action: Put 1 ally card into play from your hand. At the end of the phase, if that ally is still in play, return it to your hand.		
51223bd0-ffd1-11df-a976-0801200c9024	Valiant Sacrifice	51223bd0-ffd1-11df-a976-0801200c9024.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	24			Leadership			1											Response: After an ally card leaves play, that card's controller draws 2 cards.		
51223bd0-ffd1-11df-a976-0801200c9025	Grim Resolve	51223bd0-ffd1-11df-a976-0801200c9025.jpg	player	Event	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	25			Leadership			5											Action: Ready all character cards in play.		
51223bd0-ffd1-11df-a976-0801200c9026	Steward of Gondor	51223bd0-ffd1-11df-a976-0801200c9026.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	26		1	Leadership	Gondor. Title.	Attach to a hero.	2											Attached hero gains the Gondor trait.  Action: Exhaust Steward of Gondor to add 2 resources to attached hero's resource pool.		
51223bd0-ffd1-11df-a976-0801200c9027	Celebrían's Stone	51223bd0-ffd1-11df-a976-0801200c9027.jpg	player	Attachment	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	27		1	Leadership	Artifact. Item.	Attach to a hero. Restricted.	2											Attached hero gains +2 [willpower].  If attached hero is Aragorn, he also gains a [spirit] resource icon.		
51223bd0-ffd1-11df-a976-0801200c9028	Veteran Axehand	51223bd0-ffd1-11df-a976-0801200c9028.jpg	player	Ally	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	28			Tactics	Dwarf. Warrior.		2				0	2	1	2						
51223bd0-ffd1-11df-a976-0801200c9029	Gondorian Spearman	51223bd0-ffd1-11df-a976-0801200c9029.jpg	player	Ally	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	29			Tactics	Gondor. Warrior.	Sentinel.	2				0	1	1	1				Response: After Gondorian Spearman is declared as a defender, deal 1 damage to the attacking enemy.		
51223bd0-ffd1-11df-a976-0801200c9030	Horseback Archer	51223bd0-ffd1-11df-a976-0801200c9030.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	30			Tactics	Rohan. Archer.	Ranged.	3				0	2	1	2						
51223bd0-ffd1-11df-a976-0801200c9031	Beorn	51223bd0-ffd1-11df-a976-0801200c9031.jpg	player	Ally	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	31		1	Tactics	Beorning. Warrior.		6				1	3	3	6				Action: Beorn gains +5 [attack] until the end of the phase. At the end of the phase in which you trigger this effect, shuffle Beorn back into your deck. (Limit once per round.)		
51223bd0-ffd1-11df-a976-0801200c9032	Blade Mastery	51223bd0-ffd1-11df-a976-0801200c9032.jpg	player	Event	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	32			Tactics			1											Action: Choose a character. Until the end of the phase, that character gains +1 [attack] and +1 [defense].		
51223bd0-ffd1-11df-a976-0801200c9033	Rain of Arrows	51223bd0-ffd1-11df-a976-0801200c9033.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	33			Tactics			1											Action: Exhaust a character you control with the ranged keyword to choose a player. Deal 1 damage to each enemy engaged with that player.		
51223bd0-ffd1-11df-a976-0801200c9034	Feint	51223bd0-ffd1-11df-a976-0801200c9034.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	34			Tactics			1											Combat Action: Choose an enemy engaged with a player. That enemy cannot attack that player this phase.		
51223bd0-ffd1-11df-a976-0801200c9035	Quick Strike	51223bd0-ffd1-11df-a976-0801200c9035.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	35			Tactics			1											Action: Exhaust a character you control to immediately declare it as an attacker (and resolve its attack) against any eligible enemy target.		
